OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
After configuring the Management interface in Gaia Clish, you want to confirm which interface is currently selected as the management interface. Which command should you use?;show interfaces management;show management interface;show gateway management-interface;cp_conf management interface get;B;show management interface verifies the currently configured management interface. The trap is choosing a generic interface display command. You need the dedicated management-interface check because the management interface affects management connectivity and NAT behavior.
You started a Gaia backup and need to monitor backup progress repeatedly from Expert mode by executing a Clish command. Which command is the best match?;watch backup status;show backup status --watch;"watch -d -n 1 'clish -c ""show backup status""'";api status backup;C;"The lab monitors backup progress with watch -d -n 1 'clish -c ""show backup status""'. The key detail is that show backup status is a Clish command, so from Expert mode it is called through clish -c and repeated with watch."
Before exporting a Management Server database for an advanced upgrade, you need to check for a newer CPUSE Deployment Agent. Which command updates the Deployment Agent?;installer update agent status;cpuse agent install latest;show installer status;installer agent update;D;installer agent update checks for and updates the Deployment Agent. show installer status is used afterward to verify installer state, not to initiate the agent update. This distinction is a common command-selection trap.
After running installer agent update, you need to verify the update or current installer operation state. Which command should you use?;show installer status;installer agent status;cpuse status all;show software updates agent;A;show installer status displays installer status. The study guide pairs installer agent update with show installer status. The first initiates the update check or update, the second verifies status.
Before running an advanced upgrade export, you want to confirm which Upgrade Tools package is installed for R82 and verify its build number. Which command is used?;$FWDIR/scripts/migrate_server verify -v R82;$FWDIR/scripts/migrate_server print_installed_tools -v R82;cpinfo -y all -tools R82;show installer tools version R82;B;$FWDIR/scripts/migrate_server print_installed_tools -v R82 prints the installed Upgrade Tools package information. migrate_server verify checks whether the server is ready for migration, but it is not the command that prints the installed tools build number.
You are about to export a Management Server database for an advanced upgrade and need to validate that the current server is ready for migration. Which command should you run?;$FWDIR/scripts/migrate_server print_installed_tools -v R82;$FWDIR/scripts/migrate_server export -v R82 -x /var/log/A_SMS_Export;$FWDIR/scripts/migrate_server verify -v R82;cp_conf auto get all;C;migrate_server verify -v R82 checks whether the server is ready for the migration. It should succeed before you export. print_installed_tools checks tool version, export performs the export, and cp_conf auto get all checks automatic product startup behavior.
Immediately before exporting the Management Server database, the lab closes out the current log file. Which command is used for that step?;logswitch fw;fw logclose;cp_log rotate;fw logswitch;D;fw logswitch closes the current log file and starts a new one. This is done before exporting the management database with logs and log indexes so the log data is in a clean state for export.
Before exporting the Management Server database with logs and log indexes, you need to stop Solr so log indexes are closed and saved. Which command is used in the lab?;$RTDIR/scripts/stopSolr.sh;service solr stop;$FWDIR/scripts/stopSolr.sh;cpstop solr;A;$RTDIR/scripts/stopSolr.sh is used to stop Solr before the export. The guide emphasizes waiting until Solr is stopped before proceeding. The path is a trap because the migrate_server tool is under $FWDIR, while this Solr script is under $RTDIR.
You need to export the Primary Security Management Server database for a hardware migration, including logs and log indexes, for target version R82. Which command pattern is correct?;$FWDIR/scripts/migrate_server import -v R82 -x /var/log/A_SMS_Export.txz;$FWDIR/scripts/migrate_server export -v R82 -x /var/log/A_SMS_Export;migrate export management R82 /var/log/A_SMS_Export;backup export -management -logs -version R82 /var/log/A_SMS_Export;B;Use $FWDIR/scripts/migrate_server export -v R82 -x /var/log/A_SMS_Export to export the management database. The import command is used later on the new server. The -x option is used in the lab export and import workflow.
On the target Management Server, you need to import a previously exported A_SMS_Export.txz management database for R82. Which command pattern matches the import step?;$FWDIR/scripts/migrate_server export -v R82 -x /var/log/A_SMS_Export;$FWDIR/scripts/migrate_server verify -v R82 -x /var/log/A_SMS_Export.txz;$FWDIR/scripts/migrate_server import -v R82 -x /var/log/A_SMS_Export.txz;cpconfig import database /var/log/A_SMS_Export.txz R82;C;The import step uses $FWDIR/scripts/migrate_server import -v R82 -x /var/log/A_SMS_Export.txz. Export is run on the source server, verify checks readiness, and cpconfig is not the database import command for this advanced migration workflow.
During the import workflow, the target server must allow file transfer through an SFTP/SCP client by giving the admin account a bash shell. Which Gaia Clish command is used?;set shell admin /bin/bash;chsh admin /bin/bash;cp_conf admin shell /bin/bash;set user admin shell /bin/bash;D;set user admin shell /bin/bash changes the admin user's shell in Gaia Clish. This is used before connecting with an SFTP/SCP client such as WinSCP. chsh may look like a Linux answer, but the lab uses the Gaia Clish command.
Before importing a database on the replacement Management Server, you need to confirm that the Gaia hostname is correct. Which command should you run?;show hostname;hostnamectl status;cp_conf hostname get;show system identity hostname;A;show hostname is the Gaia Clish command used to verify the configured hostname. If the hostname is wrong, the lab uses set hostname A-SMS. This distinction between show and set commands is often tested in operational questions.
The imported Management Server must have the correct domain name, alpha.cp. Which command verifies the current Gaia domain name?;show dns domain;show domainname;cp_conf domain get;show hostname domain;B;show domainname verifies the configured Gaia domain name. If it is not alpha.cp, the correction command is set domainname alpha.cp. This is separate from DNS server configuration.
During target server validation, you need to check whether a default static route exists before importing the database. Which command is used?;netstat -rn default;ip route show default;show route static;show routing default-gateway;C;show route static displays static routes in Gaia Clish. If the default route is missing, the lab uses set static-route default nexthop gateway address ... on. Do not confuse Linux route inspection with the Gaia Clish workflow used in the course.
The replacement Management Server has the wrong hostname. Which command corrects it to A-SMS in Gaia Clish?;hostnamectl set-hostname A-SMS;cp_conf hostname set A-SMS;set system name A-SMS;set hostname A-SMS;D;set hostname A-SMS is the Gaia Clish command used to correct the hostname. The guide first checks with show hostname, then corrects with set hostname A-SMS if needed.
The target Management Server has the wrong domain name and must be corrected to alpha.cp. Which command should be used?;set domainname alpha.cp;set dns domain alpha.cp;cp_conf domain set alpha.cp;set hostname domain alpha.cp;A;set domainname alpha.cp is the Gaia Clish command used to correct the domain name. This should not be confused with DNS server settings or SIC settings. The domain name is part of the host identity that must match the migration plan.
The target Management Server interface has the wrong IPv4 address. Which command pattern sets the interface address to 10.1.1.101 with a /24 mask?;set interface eth ip 10.1.1.101/24;set interface eth ipv4-address 10.1.1.101 mask-length 24;ip address add 10.1.1.101/24 dev eth0;cp_conf interface eth address 10.1.1.101 mask 255.255.255.0;B;set interface eth ipv4-address 10.1.1.101 mask-length 24 is the Gaia Clish pattern shown in the lab. It is a configuration command, not just a Linux ip command. The exact Gaia syntax is the important exam detail.
The replacement Management Server is missing its default route. Which command pattern adds a default static route using next-hop gateway 203.0.113.254?;route add default gw 203.0.113.254;set route default gateway 203.0.113.254;set static-route default nexthop gateway address 203.0.113.254 on;add default-route gateway 203.0.113.254;C;The Gaia Clish pattern is set static-route default nexthop gateway address 203.0.113.254 on. The word on enables the route. This is part of preparing the target server before database import.
Before importing the database, you need to verify that administrator accounts are defined on the Management Server. Which command does the lab use?;show administrators all;mgmt_cli show administrators;cpconfig administrators show;cp_conf admin get;D;cp_conf admin get checks the locally configured administrators in this migration-preparation workflow. If no administrators are defined, the lab provides a cp_conf admin add command. mgmt_cli may manage objects through the API, but it is not the lab's pre-import local check.
A pre-import check shows that no GUI Clients are defined for the Security Management Server. Which command adds the 10.1.1.0/24 network as allowed GUI clients?;cp_conf client add 10.1.1.0/255.255.255.0;cp_conf gui_clients add 10.1.1.0/24;set gui-client network 10.1.1.0 mask 255.255.255.0;mgmt_cli add gui-client network 10.1.1.0/24;A;cp_conf client add 10.1.1.0/255.255.255.0 adds the allowed GUI client network. This matters because without GUI clients, SmartConsole access can fail even if the server is otherwise configured correctly.
You need to verify the Internal Certificate Authority CRL distribution point on a Management Server during import preparation. Which command is used?;cp_conf ca get crl;cpca_client get_cridp;cpconfig ca status;show certificate-authority crl-dp;B;cpca_client get_cridp verifies the Internal CA CRL distribution point. If it does not return the expected management FQDN, the lab uses cpconfig and the Certificate Authority menu to change the Internal CA settings, followed by cpstop and cpstart.
In ElasticXL, you are in gClish and need to see the current cluster members and any pending gateways available to be added. Which command should you run?;asg stat -i tasks;show cluster info policy;show cluster info overview;show cluster configuration image auto-clone state;C;show cluster info overview displays the current ElasticXL cluster members and their states, and also shows gateways available for addition. show cluster info policy focuses on policy status, while asg stat -i tasks is useful for identifying which member handles tasks such as the SMO.
In ElasticXL, you need to check the policy status of cluster members after deployment or update. Which gClish command matches that purpose?;show cluster info overview;asg monitor policy;show policy cluster members;show cluster info policy;D;show cluster info policy checks Cluster Member policy status in ElasticXL. The overview command gives member and pending-gateway state, while the policy command is the direct check for policy status.
In ElasticXL, you need a quick status view that shows cluster uptime, members per site, version, and similar high-level information. Which command is listed for that purpose?;asg stat;show cluster info provision;show cluster configuration state;asg monitor;A;asg stat shows a status summary including uptime, members per site, version, and related cluster information. asg monitor shows similar information but continuously updates, which makes it better for live monitoring rather than a one-time status snapshot.
You are troubleshooting ElasticXL and want a continuously updating view similar to asg stat. Which command is the best fit?;asg stat -i tasks;asg monitor;show cluster info overview watch;watch cluster elasticxl status;B;asg monitor shows information similar to asg stat but continuously updates. asg stat -i tasks answers a different question, namely which member handles specific tasks.
In ElasticXL, you need to identify which member is handling each task, especially to identify the SMO. Which command is used?;asg stat;show cluster info overview;asg stat -i tasks;show cluster info provision;C;asg stat -i tasks shows which member handles each task and is useful for identifying the SMO. This is more specific than asg stat, which gives a general status summary.
Before testing an ElasticXL update procedure, you need to verify whether image auto-clone is enabled. Which command should you use?;set cluster configuration image auto-clone state off;show cluster info provision;show cluster info policy;show cluster configuration image auto-clone state;D;show cluster configuration image auto-clone state verifies whether image auto-clone is on or off. The corresponding set command changes the state, but you should verify first before making changes.
