OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
A rule must refer to a named object whose IP address is intentionally different on different Security Gateways. The Management Server should not define a single fixed IP for the object. Which object type fits best?;Updatable Object;Network Feed;Dynamic Object;Access Role;C;Dynamic Objects have a name but no IP address in SmartConsole. They are resolved locally on each Security Gateway, which makes them useful when the same logical object has different local addresses in different gateway environments.
A policy rule should allow traffic to Microsoft 365 services whose IP addresses are maintained by Check Point and updated automatically from Check Point cloud data. Which object type should be used?;Dynamic Object;LDAP Group Object;Network Feed Object;Updatable Object;D;Updatable Objects represent predefined external services such as Microsoft 365, Zoom, and cloud services. Their IPs and domains are maintained by Check Point and updated automatically. Network Feeds are for external HTTP or HTTPS feeds, usually custom or third-party feeds.
A customer maintains an internal HTTPS URL containing a flat list of suspicious IP addresses and wants gateways to fetch it regularly for use in Access Control. Which feature is the closest fit?;Network Feed Object;Updatable Object;Dynamic Object;LDAP Account Unit;A;Network Feed objects are generated on external HTTP or HTTPS servers and are fetched by Security Gateways. They can be used in Access Control, HTTPS Inspection, and Threat Prevention. Updatable Objects are Check Point maintained predefined services, not custom customer feeds.
A rule should match traffic based on identified users, machines, networks, and remote access clients. Which object type is designed for that identity-aware matching?;LDAP Group Object;Access Role Object;Network Feed Object;Dynamic Object;B;Access Role objects are used in rules for Identity Awareness scenarios and can include networks, users, machines, and remote access clients. LDAP Group objects can represent directory groups, but Access Roles are the more modern identity-aware policy construct.
A Network Feed object is being configured for an external source. Which feed content formats are supported by the object parser?;CSV only;XML or CSV;Flat list or JSON;STIX only;C;Network Feed parsing supports Flat list or JSON. The data type can be IP address, domain, or IP address and domain. XML and STIX are plausible threat intelligence formats, but they are not the formats specified for this Network Feed object configuration in the course material.
An administrator configures a Network Feed and wants to validate both gateway connectivity to the URL and the certificate of the server hosting the feed. Which action is most directly relevant?;Install Database on all management and log servers;Publish and wait for automatic Management HA synchronization;Run cpinfo -y all on the gateway;Use the Test Feed function in the Network Feed object;D;The Test Feed function verifies that the gateway can connect to the feed URL and that the server certificate is valid. Installing policy may be needed for enforcement later, but Test Feed is the specific validation action in the object configuration.
A security team wants to block traffic to a custom list of domains that changes hourly and is hosted on their own web server. Which choice avoids manual policy edits for each change?;Network Feed Object with an appropriate update interval;Manual NAT rule with automatic ARP enabled;User Template with time restrictions;VPN Domain in a Mesh Community;A;A Network Feed lets gateways fetch an external HTTP or HTTPS source at a configured interval, commonly 60 minutes by default. That makes it suitable for customer-managed dynamic lists. NAT, user templates, and VPN domains solve unrelated problems.
A company needs a policy object for Zoom, but does not want to own or maintain the changing address list. Which choice is best?;Dynamic Object named Zoom resolved locally on each gateway;Updatable Object for the relevant external service;Network Feed with an empty URL and automatic Check Point synchronization;Access Role with Any identified users;B;Updatable Objects are predefined objects for external services with addresses maintained by Check Point cloud. A Network Feed requires an external feed URL. A Dynamic Object would require local IP definitions on each gateway and would not solve cloud-service address maintenance.
An administrator creates an object in SmartConsole with only a name and later defines the actual IP address locally on each Security Gateway using a command-line utility. Which object is being used?;Network Feed Object;Updatable Object;Dynamic Object;Interoperable Device;C;Dynamic Objects are created in SmartConsole and then defined locally on each Security Gateway using the dynamic_objects command from Expert mode. The absence of a fixed Management Server IP definition is the key clue.
A rule should grant access to members of an Active Directory group and also include machine identity conditions. Which Check Point construct usually gives the more modern and flexible policy model?;User Group Object;LDAP Group Object only;Dynamic Object;Access Role Object;D;LDAP Group objects can represent directory group membership, but Access Role objects are the modern Identity Awareness policy construct and can combine users, machines, networks, and remote access clients. This makes Access Roles more suitable for mixed identity conditions.
A customer wants to translate a destination port while performing NAT for a published internal service. Which NAT approach is required?;Manual NAT rule;Automatic Static NAT only;Automatic Hide NAT with client-side translation;Security Management behind NAT;A;Translating services, especially destination ports, is a use case for Manual NAT. Automatic NAT is useful for common static or hide translations, but service translation and more granular conditional translations require manual rules.
A Manual NAT rule uses a translated address from a network directly connected to the Security Gateway. What additional configuration is typically required so neighboring devices can resolve the translated IP at Layer 2?;A VPN Domain containing the translated IP;Proxy ARP on the Security Gateway;An Access Role object for the translated network;A Management HA backup log server;B;Proxy ARP is required for Manual NAT when the translated address comes from a network where the gateway is directly connected. If the translated address is routed to the gateway, Proxy ARP is not needed. The exam trap is confusing routing with ARP ownership.
After configuring manual Proxy ARP entries on the gateways, which global setting is used so the manual Proxy ARP configuration is merged during policy installation?;Translate destination on client side;Enable bidirectional NAT;Merge manual proxy ARP configuration;Apply to Security Gateway control connections;C;For manual Proxy ARP configuration, SmartConsole Global Properties under NAT includes the Merge manual proxy ARP configuration setting. This allows the manual gateway configuration to be merged. It is separate from NAT translation direction and management-behind-NAT control connections.
An administrator adds a Proxy ARP entry for Manual NAT on both cluster members. What must be done for the Proxy ARP change to take effect on the gateways?;Only publish the SmartConsole session;Only run cpstart on the active cluster member;Only install database on the Management Server;Install the Security Policy after the Proxy ARP change;D;The course material explicitly notes that a Security Policy must be installed after every Proxy ARP change for the change to take effect on the Security Gateway. Publishing alone is not enough, and restarting services is not the normal activation method.
A Security Management Server is behind NAT. A remote Security Gateway should communicate with the Management Server through its NAT address for control connections. Which setting is most relevant?;Apply to Security Gateway Control Connections;Merge manual proxy ARP configuration;Hide behind gateway;Use Network Feed proxy for connection;A;The Security Management behind NAT configuration includes Apply to Security Gateway Control Connections. If it is disabled, remote gateways do not communicate with the NAT address of the Management Server. This is unrelated to manual Proxy ARP merge or Network Feed proxy settings.
In R82 Security Management behind NAT, an administrator selects Use this server's translated IP address for gateway connections. What additional configuration requirement is easy to miss?;The gateway must be converted to an Interoperable Device;The Management interface must be configured on the gateway side as required by the feature;The policy package must contain only NAT and no Access Control layer;The Security Management Server must be deployed as a ClusterXL member;B;The course notes that using the server's translated IP address requires configuration of the Management interface on the gateway. This applies to R82 and later gateways. The other options confuse unrelated gateway object or policy design concepts.
An administrator wants a one-to-one translation for a DMZ server, but also wants to translate traffic only when it goes to a specific destination and service. Which statement is most accurate?;Automatic Static NAT is always enough because it supports all conditional destinations and services;Hide NAT is preferred because it can translate destination ports;Manual NAT gives the necessary granularity for conditional destinations and services;Security Management behind NAT automatically creates the needed service translation;C;Manual NAT is used for granular translation conditions, such as specific destinations, specific services, translating both source and destination, or translating destination ports. Automatic Static NAT is simpler and object-based, but it does not cover all granular service and conditional cases.
On the NAT tab of an R82 Management Server object, what happens when Do not create automatic NAT rules is enabled for supported gateways?;Proxy ARP is automatically deleted from every gateway;Only Hide NAT rules are removed, while Static NAT rules remain;The server can no longer be reached by SmartConsole;Automatic NAT rules for that object are ignored or overridden;D;The R82 option Do not create automatic NAT rules means automatic NAT rules are ignored or overridden for supported gateways. This is specific to automatic NAT rule generation and does not directly delete proxy ARP entries or break SmartConsole access by itself.
Which description best separates Static NAT from Hide NAT in Check Point terminology?;Static NAT is one-to-one, while Hide NAT is many-to-one;Static NAT is only for source ports, while Hide NAT is only for destination ports;Static NAT requires Network Feeds, while Hide NAT requires Updatable Objects;Static NAT is used only for Management Servers, while Hide NAT is used only for gateways;A;Static NAT maps one private address to one public address. Hide NAT hides many internal addresses behind one address, often the gateway or another address. The other options mix NAT with unrelated object and management features.
A Check Point gateway must establish an IPSec VPN to a third-party firewall that is not managed by Check Point. Which SmartConsole object should represent the remote peer?;Externally Managed VPN Gateway;Interoperable Device;Host Object with IPSec enabled;Access Role Object;B;A third-party non-Check Point IPSec VPN peer is represented as an Interoperable Device. An Externally Managed VPN Gateway is used for another Check Point Security Gateway managed by a different Security Management Server.
A VPN peer is another Check Point Security Gateway, but it is managed by a different Security Management Server. Which object type is the closest match?;Interoperable Device;Simple Gateway without VPN enabled;Externally Managed VPN Gateway;Network Feed Object;C;A Check Point Security Gateway managed by a different Security Management Server is modeled as an Externally Managed VPN Gateway. A third-party device is an Interoperable Device. This distinction is frequently tested because both are remote VPN peers.
A gateway is already a member of one VPN community. When may it also be a member of another VPN community without creating an invalid duplicate pairing?;Only when both communities are Mesh communities;Only when vpn_route.conf is edited on all gateways;Only when all gateways are managed by the same Management Server;When it does not pair with the same peer gateway in more than one community;D;A VPN Gateway can be in more than one VPN community as long as the same gateway pair is not matched in more than one community. The rule is about duplicate peer pairings, not simply the number of communities or whether they are Mesh or Star.
A customer chooses route-based VPN because routing should determine which traffic enters a specific VPN tunnel. Which interface type is central to this design?;Virtual Tunnel Interface, VTI;ElasticXL Sync interface;magg1 bonded management interface;Loopback interface used only by SmartEvent;A;Route-based VPN uses a Virtual Tunnel Interface for each VPN tunnel with a peer. Traffic routed through the VTI is treated as VPN traffic and passed through the associated tunnel. Domain-based VPN instead relies on VPN domains.
During IKEv1 Phase 1 or IKEv2 IKE_AUTH, peer gateways must authenticate each other. Which credential types are used for this authentication?;LDAP bind or Kerberos ticket;Pre-shared Secret or PKI Certificate;OCSP response or CRL only;SAML assertion or RADIUS challenge;B;Check Point site-to-site VPN peer authentication uses a Pre-shared Secret or PKI Certificate. Internally managed Check Point gateways use certificates from the ICA. PSK is not used for internally managed gateways.
In a standard IKEv2 tunnel establishment, IKE_SA_INIT and IKE_AUTH are used. How many messages are exchanged in total across these two exchanges?;Two messages total, one per exchange;Three messages total, because IKE_AUTH is one-way;Four messages total, two per exchange;Nine messages total, matching IKEv1 main mode plus quick mode;C;IKEv2 uses two main exchanges for initial tunnel establishment. IKE_SA_INIT has two messages and IKE_AUTH has two messages, for a total of four messages. The nine-message idea is a trap that confuses different negotiation flows.
A VPN community should allow every gateway in the community to build a direct tunnel to every other gateway in that same community. Which topology matches this requirement?;Star with only Satellite gateways;Domain-based with no VPN community;Route-based with no VTI routes;Mesh VPN Community;D;In a Mesh Community, any gateway can establish a direct VPN tunnel with any peer gateway in the community. Star topology separates gateways into Center and Satellite groups and has different tunnel establishment rules.
In a Star VPN community, when can two gateways establish a tunnel by default?;When one gateway is in the Center group and the other is a Satellite, and also between Center gateways if Mesh Center Gateways is enabled;Only when both gateways are Satellites;Only when neither gateway has a VPN domain;Whenever both gateways are in any two VPN communities;A;In a Star Community, tunnels can be established between Center and Satellite gateways. Tunnels between Center gateways are possible when the Mesh Center Gateways option is enabled. Satellite-to-Satellite is not the default model.
What is the primary role of Internet Key Exchange in an IPSec VPN?;To update VPN domains in SmartConsole after every policy installation;To authenticate peers and agree on keys and encryption methods for tunnel establishment;To fetch Network Feed objects before encryption starts;To distribute policy files from the Management Server to VPN gateways;B;IKE is the key management protocol used to establish IPSec VPN tunnels. It authenticates peers and negotiates keys and cryptographic methods. It does not manage VPN domains, network feeds, or policy transfer.
A VPN tunnel is defined correctly, but traffic is still dropped because the firewall rulebase does not allow it. What does this illustrate?;VPN communities replace Access Control policy for encrypted traffic;NAT policy automatically permits all VPN traffic after encryption;VPN traffic still needs an appropriate Access Control rule allowing the relevant VPN traffic;IKE negotiation installs an implied rule for every service between VPN domains;C;Defining the VPN tunnel and community is not enough for all traffic to pass. Access Control rules must permit the traffic that should traverse the VPN. VPN configuration identifies and encrypts traffic, while the security policy still controls whether it is allowed.
A SOC manager wants full threat visibility, event correlation, real-time forensics, and operational reporting for security events. Which Check Point feature is the closest fit?;Compliance Blade;CPUSE Deployment Agent;Management High Availability;SmartEvent Software Blade;D;SmartEvent is focused on advanced security monitoring, event correlation, visibility, forensics, reporting, and response. The Compliance Blade is focused on best-practice and regulatory posture. CPUSE and Management HA solve upgrade and management availability problems.
An auditor asks for a tool that compares the environment against Check Point best practices and regulatory standards, and highlights violations. Which feature is most appropriate?;Compliance Software Blade;SmartEvent Correlation Unit only;Central Deployment Tool;Updatable Objects;A;The Compliance Blade evaluates configuration against security best practices and regulatory standards. SmartEvent can monitor and report events, but compliance posture and best-practice checks are the core role of the Compliance Blade.
In the SmartEvent Settings & Policy application, a custom event must be assigned an event severity. Which severity set is the best match for the course material?;Low, Medium, High only;Informational, Low, Medium, High, Critical;Warning, Error, Critical, Emergency;Informational, Warning, Low, Medium, High;B;The relevant severity choices include Informational, Low, Medium, High, and Critical. Distractors often insert Warning or remove Critical, but Critical is part of the SmartEvent severity model in the training-style questions.
An administrator wants to create an event definition that triggers when a specific pattern appears in logs and then use it in reports. Which application area is most relevant?;Gaia Portal > Software Updates;GATEWAYS & SERVERS > Fetch Policy;SmartEvent Settings & Policy;Global Properties > NAT;C;Custom event configuration belongs to SmartEvent Settings & Policy. Gaia software updates, gateway fetch policy settings, and NAT global properties are unrelated to event correlation definitions.
A security team wants management reports to be generated regularly without manually exporting them each time. Which SmartEvent capability should be used?;Manual synchronization of Management HA peers;Network Feed Test Feed;migrate_server export with -x;Scheduled reports;D;SmartEvent supports reports and scheduled report generation. Management HA synchronization, Network Feed testing, and migrate_server export are unrelated to recurring security monitoring reports.
A customer asks which feature can show policy or configuration compliance violations against Check Point security best practices rather than detect live attacks. Which answer is best?;Compliance Blade;SmartEvent threat forensics;CPTA transfer agent;VPN community routing;A;Compliance focuses on configuration posture, best practices, regulatory standards, and violations. SmartEvent is more appropriate for event correlation, visibility, and forensics from logs. CPTA and VPN communities solve unrelated technical functions.
An administrator wants to explore correlated security event information and then create an executive report from the same monitoring solution. Which blade is most directly involved?;Compliance Blade only, because reports are always compliance reports;SmartEvent Software Blade;CPUSE Deployment Agent;Dynamic Objects;B;SmartEvent provides event correlation, dashboards, investigation, and reporting. Compliance can also produce compliance-oriented outputs, but correlated security event analysis is a SmartEvent function.
A single Security Gateway must be upgraded locally from Gaia using a downloaded package. Which component is most directly involved in this local upgrade flow?;CPUSE Deployment Agent;SmartEvent Correlation Unit;CPTA;Management HA synchronization;A;CPUSE Deployment Agent is used for software updates, hotfixes, and upgrades from Gaia. CPTA is for policy transfer, not software upgrade. SmartEvent and Management HA are unrelated to the local package installation mechanism.
An administrator wants to deploy a Jumbo Hotfix to many gateways from SmartConsole, with up to 30 selected and a limited number running concurrently. Which feature fits this scenario?;Management HA manual synchronization;Central Deployment with SmartConsole;Advanced Upgrade using migrate_server import;Network Feed scheduled fetching;B;Central Deployment with SmartConsole can deploy hotfixes or version upgrades to multiple gateways or cluster members. The training material describes up to 30 gateways queued with up to 10 installations active at the same time.
A package is already uploaded to the Management Server Package Repository. During Central Deployment, which package source should be selected to use that repository rather than downloading from the Check Point Cloud through the gateway?;Gateway;Automatic only, because repository use cannot be forced;Management;Local Gateway Cache;C;In Central Deployment, the Package Location Source can be Automatic, Gateway, or Management. Management means the package is uploaded from the Package Repository on the Security Management Server. Gateway means download from Check Point Cloud.
Gateways have poor Internet connectivity, but the Management Server has the required hotfix package. What is the recommended package strategy for Central Deployment?;Use each gateway to download from Check Point Cloud anyway;Use Manual NAT to translate update traffic;Disable SIC during installation;Use the Package Repository on the Management Server;D;The training material recommends the Package Repository when gateway Internet connectivity is poor or overloaded. The Management Server can provide the package to selected gateways. Disabling SIC would break a prerequisite for Central Deployment.
Which prerequisite set best matches Central Deployment from SmartConsole?;SmartUpdate write permission, latest CPUSE Deployment Agent, working SIC, and a policy installed on the gateway;Only admin access to Gaia Portal, no SIC requirement, and no installed policy;Only a valid Network Feed certificate and an Access Role object;Only Management HA configured with two Active servers;A;Central Deployment requires the administrator to have write permission on SmartUpdate, the Security Gateway to have the latest CPUSE Deployment Agent, working SIC between Management and Gateway, and a policy installed. These details are plausible exam targets.
During a Management, Log, or SmartEvent Server upgrade to R82, when is a special JSON configuration file required?;Always, for every CPUSE upgrade regardless of addressing;When any Management, Log, or SmartEvent Server in the environment changes IP address;Only when upgrading a Security Gateway cluster member;Only when upgrading without Internet connectivity;B;The JSON configuration file is required if the target Security Management Server has a different IP address than the source, or if any Log or SmartEvent Server in the environment changes IP address. If no server IP changes, the special JSON file is not needed.
During migrate_server export/import planning, which statement about logs and log indexes is correct by default?;Logs and indexes are always included and cannot be excluded;Only logs are included by default, but indexes require -x;Logs and log indexes are not included by default and require options such as -l and -x;Indexes are included by default, but logs require a separate Gaia backup;C;By default, logs and log indexes are not included in the migrate_server export or import. The options -l and -x can include logs and indexes respectively. Including them increases required space and processing time.
What happens automatically when the migrate_server import command imports the Management database?;It automatically deletes old gateway objects with the source IP address;It automatically creates VPN communities for all gateways;It automatically installs policy on all gateways;It automatically restarts Check Point services by running cpstop and cpstart;D;The migrate_server import command automatically restarts Check Point services using cpstop and cpstart. It does not automatically redesign objects, create VPN communities, or install policies on all gateways.
An exported Management database file is moved from source to target before import. Which validation practice is recommended?;Transfer the file in binary mode and compare its MD5 hash with the original;Open the TXZ file in SmartConsole and compare rule counts only;Transfer it in ASCII mode to normalize line endings;Run fw fetch localhost on the target Management Server;A;The training workflow emphasizes transferring exported database files in binary mode and verifying they are not corrupted by calculating and comparing the MD5 hash. ASCII transfer can corrupt binary archives.
In an advanced upgrade with dedicated Log or SmartEvent Servers, what is the recommended upgrade order?;Upgrade Log and SmartEvent Servers first, then Primary Management last;Upgrade the Primary Management Server before dedicated Log or Event Servers;Upgrade all servers simultaneously from a standby gateway;Upgrade gateways first, then decide whether Management needs an upgrade;B;The guidelines state that the Primary Management Server should be upgraded before dedicated Log or Event Servers. This preserves the correct management hierarchy during the environment upgrade.
In an ElasticXL Cluster, what is the role of the Single Management Object, SMO?;It is a dedicated Log Server that stores events for all cluster members;It is a SmartEvent object that replaces the Correlation Unit;It provides the management and policy installation point for the ElasticXL Cluster and distributes traffic among members on the site;It is the Sync interface that carries state synchronization traffic only;C;The SMO is a Security Gateway object in SmartConsole that defines the ElasticXL Cluster management IP and features. The Management Server communicates with the SMO for configuration and policy changes, and the SMO distributes traffic among members on the same site.
Which statement correctly describes magg1 and Sync interfaces in ElasticXL?;magg1 is an individual physical port, while Sync is a VLAN subinterface;magg1 is used only by Maestro, while Sync is unused in ElasticXL;magg1 is hidden in SmartConsole, while Sync is visible and manually assigned by the administrator;magg1 is a bonded management interface and Sync is also a bonded interface used for synchronization;D;ElasticXL uses a bonded management interface represented by magg1. The Sync interface is also a bonded interface, hidden in SmartConsole, used for synchronization between cluster members. Both are assigned automatically in the ElasticXL workflow.
Each ElasticXL Cluster Member requires a minimum set of interfaces. Which set best matches the course material?;Management, Sync, Internal, and External;Management only, because all data interfaces are created by policy installation;Internal and External only, because synchronization uses the Management Server;magg1, Loopback, VTI, and Log Exporter;A;ElasticXL requires at least four interfaces on each member: management, Sync, internal, and external. The management and Sync roles are distinct, and data interfaces are still required for inspected traffic.
An administrator wants to run the same monitoring command across all members of an ElasticXL Cluster without connecting to each member separately. Which shell should be used?;Expert mode only;gClish;SmartConsole CLI pane;CPUSE package repository;B;gClish, or Global Clish, is designed to manage and monitor the entire ElasticXL Cluster. Commands executed there affect all cluster members collectively. Expert mode and normal clish do not automatically provide this cluster-wide behavior.
A second appliance is being added to an existing ElasticXL Cluster after Gaia is installed and cables are connected to the same networks. What is notable about the configuration workflow for the new member?;The administrator must fully configure all interfaces manually and create a separate gateway object;The administrator must run First Time Configuration Wizard and select Primary Management Server;It can appear as a pending gateway and receive replicated configuration after being added to the cluster;It must be migrated with migrate_server import before it can inspect traffic;C;For additional ElasticXL members, Gaia must be installed and the appliance must be connected to the same networks. It is not necessary to run the First Time Configuration Wizard in the same way as the first SMO. The new gateway can be selected from pending gateways and receive replicated configuration.
According to the course overview, what is the stated scaling model for ElasticXL Cluster in R82?;One node per site and two sites maximum;Two nodes total, matching classic Active Standby only;Unlimited nodes per site as long as the Management Server has enough licenses;Up to three nodes per site with two possible sites, for six potential gateways total;D;The course material describes ElasticXL Cluster as able to scale up to three nodes per site with two possible sites, for a total of six potential Security Gateways. It is a hyperscale-style alternative to ClusterXL, not unlimited scaling.
In ElasticXL, what IP network is automatically assigned to the Sync bonding group?;192.0.2.0/24;169.254.0.0/16;10.0.0.0/8;198.51.100.0/24;A;The Sync bonding group receives an IP address from 192.0.2.0/24 automatically. This is another exam-style detail because 192.0.2.0/24 and 198.51.100.0/24 are both documentation networks and can be confused.
During initial ElasticXL deployment, which member receives the first full configuration and becomes the main management point for the cluster?;The last member added through Pending Gateways;The first Security Gateway appliance configured as the SMO;The dedicated Log Server selected in SmartConsole;The Sync interface owner selected by cluster election;B;The first ElasticXL Security Gateway is configured through the First Time Configuration Wizard and becomes the SMO. Later members clone software packages, settings, and policies from the SMO after being added.
