OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
11. A Check Point administrator faces this situation: You are preparing a Secondary Security Management Server in the First Time Configuration Wizard. The summary does not show Secondary Security Management. Which option is the best answer?;Proceed and fix it later by installing policy;Enable Accept all encrypted traffic;Go back and correct the product role before finishing;Add an LDAP Account Unit;C;The FTW product role is not cosmetic. The secondary server should be configured as Secondary Security Management. If the wrong role is accepted, re-imaging may be required. Policy installation and LDAP configuration cannot repair a wrongly deployed product role.
12. A Check Point administrator faces this situation: You want to verify that the Secondary SMS has the same policy and objects as the Primary SMS without changing anything. Which option is the best answer?;Run cpstop on the Primary SMS;Make the Secondary SMS Active immediately;Delete and recreate the gateway object;Connect to the Secondary SMS in Read Only mode and compare policy and objects;D;The safe verification method is to connect to the peer and inspect the synchronized objects and policy. Disruptive actions such as cpstop or changeover are test/failover operations, not the least intrusive verification method.
13. A Check Point administrator faces this situation: A SaaS service such as Microsoft 365 or Zoom changes IP ranges regularly. The organization wants Check Point-maintained external service definitions rather than hosting its own feed. Which option is the best answer?;Updatable Objects;Network Feeds;Dynamic Objects;LDAP Groups;A;Updatable Objects are predefined external service objects maintained through Check Point updates. Network Feeds are customer or third-party-hosted feeds. Dynamic Objects resolve locally on each gateway, and LDAP Groups are identity directory objects.
14. A Check Point administrator faces this situation: The same policy is installed to many gateways, but the object named LocalFileServer must resolve to a different IP address at each site. Which option is the best answer?;Updatable Objects;Dynamic Objects;Access Roles;User Templates;B;Dynamic Objects are defined by name in management and resolved locally on each gateway. This is ideal when the same logical object has different IPs per gateway. Updatable Objects are cloud service definitions, not site-local aliases.
15. A Check Point administrator faces this situation: A customer publishes its own HTTPS list of malicious IP addresses and wants gateways to fetch it automatically for policy use. Which option is the best answer?;Updatable Object;Management HA peer;Network Feed object;User Template;C;Network Feed objects consume external HTTP or HTTPS sources with parsing options such as data type and format. Updatable Objects are Check Point-maintained predefined services, not customer-hosted lists.
16. A Check Point administrator faces this situation: A rule must match users, machines, networks, and Remote Access clients using Identity Awareness in one logical object. Which option is the best answer?;LDAP Group;Dynamic Object;Network Feed;Access Role;D;Access Roles are designed for Identity Awareness matching and can include users, machines, networks, and remote access clients. LDAP Groups are more limited and legacy-oriented, while Dynamic Objects and Network Feeds are not identity-awareness containers.
17. A Check Point administrator faces this situation: A customer has LDAP directory groups but has not deployed Identity Awareness. They still want LDAP group membership to influence access control. Which option is the best answer?;LDAP Group object with an LDAP Account Unit;Access Role without Identity Awareness;Updatable Object;CPUSE package;A;LDAP Group objects can be used with an LDAP Account Unit and do not require Identity Awareness. Access Roles do require Identity Awareness. Updatable Objects and CPUSE are unrelated to directory group membership.
18. A Check Point administrator faces this situation: A policy installation has to decide whether an accelerated installation is possible based on changes since the last install. Which option is the best answer?;CPTA commit phase;CPM decision phase;Compliance scoring phase;IKE_AUTH exchange;B;The CPM process on the Security Management Server receives the install request and decides whether Fast or Full install is needed. CPTA is involved later in transfer and commit on the gateway side. Compliance and IKE are separate domains.
19. A Check Point administrator faces this situation: Policy data is stored with pre-generated code and does not need the legacy verification and conversion phase before transfer. Which option is the best answer?;Legacy Dump;migrate_server archive;Modern Dump;CPUSE package;C;Modern Dump contains pre-generated code and can bypass the FWM verification/conversion path required by Legacy Dump. migrate_server and CPUSE belong to migration and upgrade workflows, not policy compilation data format.
20. A Check Point administrator faces this situation: Legacy Dump files must be verified and converted into code that the gateway kernel can understand. Which option is the best answer?;CPUSE Deployment Agent;SmartEvent Server;LDAP Account Unit;FWM;D;FWM handles verification, conversion, code generation, and compilation for legacy policy data. CPUSE handles software updates, SmartEvent handles event analysis, and LDAP Account Units access directory data.
21. A Check Point administrator faces this situation: During policy installation, policy files are copied to the gateway temporary directory and then committed to local storage if successful. Which option is the best answer?;CPTA transfer and commit;Compliance rescan;Management HA Sync Peer;VPN Tunnel Sharing;A;FWM invokes CPTA for transfer and commit to the Security Gateway. The gateway temporarily stores files, loads them to the kernel, and stores them locally after success. Compliance, HA sync, and tunnel sharing are unrelated.
22. A Check Point administrator faces this situation: A gateway must manually fetch policy from the Management Server rather than load its local policy copy. Which option is the best answer?;fw fetch localhost;fw fetch <Management address>;cpinfo -y all;migrate_server verify;B;fw fetch with the management address tells the gateway to fetch policy from the Management Server. fw fetch localhost loads from local storage. cpinfo shows version/hotfix information, and migrate_server verifies migration compatibility.
23. A Check Point administrator faces this situation: A gateway must load the policy files already stored locally on that gateway. Which option is the best answer?;fw fetch <Management address>;cpstop;fw fetch localhost;migrate_server import;C;fw fetch localhost uses the local gateway policy storage. Fetching from a Management address is a different operation. cpstop stops Check Point processes, and migrate_server import is for management database migration.
24. A Check Point administrator faces this situation: A Check Point administrator needs to compare installed versions and hotfixes between HA management peers. Which option is the best answer?;fw fetch localhost;cp_conf finger get;cd $FWDIR/scripts;cpinfo -y all;D;cpinfo -y all displays version and hotfix information. cp_conf finger get displays a server fingerprint, fw fetch loads policy, and cd only changes directories.
25. A Check Point administrator faces this situation: A manual static NAT rule translates to an IP from a network directly connected to the gateway, but adjacent devices cannot ARP for the translated address. Which option is the best answer?;Manual Proxy ARP with policy installation;SmartEvent custom event;Access Role object;VPN Routing through center;A;Manual NAT may require Proxy ARP when the translated address belongs to a connected network. The workflow includes configuring Proxy ARP and installing policy. SmartEvent, Access Roles, and VPN Routing do not make the gateway answer ARP.
26. A Check Point administrator faces this situation: An administrator needs port forwarding and conditional NAT based on specific source, destination, and service constraints. Which option is the best answer?;Automatic Hide NAT only;Manual NAT;Compliance Blade;Access Role;B;Manual NAT is used for granular translations such as service translation, conditional rules, translating both source and destination, or one-way static NAT. Automatic NAT is simpler and less granular.
27. A Check Point administrator faces this situation: Proxy ARP was configured in Gaia Portal for manual NAT, but the administrator did not install the Security Policy afterward. Which option is the best answer?;Run only Compliance Rescan;Create a VPN community;Install policy because Proxy ARP changes require policy installation in the workflow;Run migrate_server import;C;The manual NAT workflow requires policy installation after Proxy ARP changes. This is easy to miss because Proxy ARP is configured in Gaia, but the effective NAT deployment still depends on the installed policy state.
28. A Check Point administrator faces this situation: The Management Server is behind NAT in R82 and gateways must communicate with the translated management address for control connections. Which option is the best answer?;VPN Tunnel Sharing;SmartEvent Event Policy;LDAP Group scope;Security Management behind NAT connection settings;D;R82 adds Security Management behind NAT options for how gateways connect to the Management Server, including use of the translated IP address. VPN tunnel sharing, SmartEvent, and LDAP scope are unrelated.
29. A Check Point administrator faces this situation: A Management Server NAT configuration intentionally suppresses creation of automatic NAT rules. Which option is the best answer?;Do not create automatic NAT rules;Accept all encrypted traffic;Mesh Center Gateways;CPUSE Allow Download;A;The R82 Security Management behind NAT settings include a control to avoid creating automatic NAT rules. It is not just a display option. If used, the administrator must ensure translation is handled appropriately.
30. A Check Point administrator faces this situation: The translated NAT address is from a network routed to the gateway rather than a network directly connected to it. Which option is the best answer?;Proxy ARP is always mandatory for every manual NAT rule;Proxy ARP might not be needed because routing brings the traffic to the gateway;A Network Feed is mandatory;Management HA must be disabled;B;The course distinction is that Proxy ARP is required for manual NAT when using IP addresses from a network where the gateway is connected. If the translated network is routed to the gateway, Proxy ARP is not the same requirement.
31. A Check Point administrator faces this situation: Every gateway in a VPN community must be able to build direct tunnels to every other gateway in the same community. Which option is the best answer?;Star VPN Community with satellites only;Compliance regulation;Mesh VPN Community;Network Feed;C;Mesh topology allows direct VPN tunnels between any gateways in the community. Star topology uses Center and Satellite roles and is not equivalent unless the intended relationships fit that model.
32. A Check Point administrator faces this situation: Two satellite gateways in a Star VPN Community need to communicate, but satellite-to-satellite tunnels are not directly established. Which option is the best answer?;Management HA changeover;Manual Proxy ARP;Modern Dump;VPN Routing through the Center gateway;D;In Star communities, satellite-to-satellite communication is achieved by routing traffic through the Center gateway when the routing option allows it. It is a VPN routing design choice, not a management, NAT, or policy dump issue.
33. A Check Point administrator faces this situation: A gateway is being added to another VPN community. The design would make the same pair of gateways match two different communities. Which option is the best answer?;Invalid overlapping VPN community pair;Recommended Management HA topology;Required for IKEv2;Required for SmartEvent correlation;A;A gateway may be in more than one VPN community, but the same pair of gateways should not match more than one community. That creates ambiguity in which community attributes apply.
34. A Check Point administrator faces this situation: A rule with Source Any and Destination Any also has the VPN column restricted to a specific community. Which option is the best answer?;The rule matches all Internet traffic;The rule is limited to traffic in that VPN community context;The rule disables encryption;The rule creates automatic NAT;B;The VPN column limits rule matching to traffic associated with the selected community. Source and Destination set to Any do not turn it into a global Internet rule because the VPN community context still restricts it.
35. A Check Point administrator faces this situation: The team wants to allow all encrypted traffic between VPN domains of internally managed gateways without writing explicit rules for every domain. Which option is the best answer?;Merge manual proxy ARP configuration;Network Feed refresh;Accept all encrypted traffic in the VPN Community;migrate_server export;C;The VPN community can create an implied rule for encrypted traffic between VPN domains. This is convenient but broad. It does not configure NAT, feeds, or database migration.
36. A Check Point administrator faces this situation: A third-party VPN gateway does not use PKI certificates and needs a shared authentication value configured on both sides. Which option is the best answer?;Internal Certificate Authority only;Compliance Action Item;Dynamic Object;Pre-shared Secret;D;Externally managed or third-party peers can use a Pre-shared Secret when certificates are not used. Internally managed Check Point gateways use certificates from the ICA.
37. A Check Point administrator faces this situation: Internally managed Check Point VPN gateways authenticate each other during IKE. Which option is the best answer?;PKI certificates from the same ICA;LDAP Group password;Network Feed token;CPUSE package signature;A;Internally managed gateways are authenticated by certificates from the Internal Certificate Authority. PSK is not used for internally managed gateways in the course description.
38. A Check Point administrator faces this situation: A permanent tunnel between Check Point gateways should be actively monitored. Which option is the best answer?;Compliance score averaging;Tunnel testing using UDP 1823;CPM Fast Install;Proxy ARP probing;B;Permanent tunnels are continuously monitored using a tunnel testing mechanism on UDP 1823 for Check Point gateways. For third-party peers, DPD can be used in IKE.
39. A Check Point administrator faces this situation: The VPN design should use one IPSec tunnel for each pair of subnets rather than each pair of hosts. Which option is the best answer?;Tunnel Sharing: one VPN tunnel per service;Access Role per subnet;Tunnel Sharing: one VPN tunnel per subnet pair;Network Feed per subnet;C;The course states that by default tunnels are created for a pair of subnets and hosts in those subnets share the tunnel. Tunnel sharing can also be per host pair or gateway pair, but not per service or identity object.
40. A Check Point administrator faces this situation: The gateway's main IP address is not the external IP used for VPN peer communication. Which option is the best answer?;Enable Management HA;Run cpinfo -y all;Install Compliance Blade;Configure Link Selection;D;Link Selection is required when the gateway's main IP is not the external address that VPN peers should use. This prevents the peer from negotiating with the wrong address.
41. A Check Point administrator faces this situation: A firewall rule includes a VPN community in the VPN column. An administrator says this column performs encryption and decryption. Which option is the best answer?;The VPN column limits rule matching but does not itself encrypt or decrypt;The VPN column replaces IKE;The VPN column creates certificates;The VPN column runs DPD;A;Encryption and decryption are VPN functions based on the community and gateway configuration. The VPN column is an Access Control rule-matching condition for traffic within selected communities.
42. A Check Point administrator faces this situation: The default IKE version called out in the Site-to-Site VPN key points must be identified. Which option is the best answer?;IKEv2 only;IKEv1;TLS 1.3;Dead Peer Detection without IKE;B;The material states that IKE creates VPN tunnels and the default is IKEv1. IKEv2 is an available option, but not the default identified in the key points.
43. A Check Point administrator faces this situation: The security team needs a single view into security risks, event investigation, free-text event search, and scheduled reports. Which option is the best answer?;Compliance Software Blade;Dynamic Objects;SmartEvent Software Blade;Manual NAT;C;SmartEvent provides full threat visibility, investigation, views, search, and reporting. Compliance focuses on posture and regulatory best practices, not forensic event investigation.
44. A Check Point administrator faces this situation: The audit team wants continuous assessment of gateways, blades, policies, and settings against regulatory standards and Check Point best practices. Which option is the best answer?;SmartEvent Software Blade;CPUSE;VPN Tunnel Sharing;Compliance Software Blade;D;Compliance uses Continuous Compliance Monitoring to check configuration and policy posture against best practices and regulations, then suggests corrective actions. SmartEvent is event-centric, and CPUSE is upgrade-centric.
45. A Check Point administrator faces this situation: A custom SmartEvent event was created but does not affect event analysis yet. Which option is the best answer?;Install the Event Policy;Install Access Control only;Run fw fetch localhost;Create a Dynamic Object;A;Event Policy changes must be installed before they apply. Installing Access Control alone or fetching gateway policy does not apply SmartEvent Event Policy changes.
46. A Check Point administrator faces this situation: A manager wants weekly executive security reports and the ability to export the current filtered report view as PDF or CSV. Which option is the best answer?;Manual Proxy ARP;SmartEvent reporting;migrate_server export;LDAP Account Unit;B;SmartEvent supports predefined and customized reports on schedules and export to PDF or CSV based on filters and time period. The other choices are real components but solve different problems.
47. A Check Point administrator faces this situation: A Compliance Best Practice shows a numeric status such as 83. Which option is the best answer?;CVSS score of a vulnerability;VPN tunnel uptime percentage;0-100 score based on examined object results;CPUSE download progress;C;Compliance Best Practices can be scored on a 0-100 scale by averaging examined object results. Some checks are only compliant or non-compliant. This is not CVSS, tunnel uptime, or package download state.
48. A Check Point administrator faces this situation: An auditor requests a report for one specific regulation showing the requirements and related Best Practice tests. Which option is the best answer?;SmartEvent custom event;CPTA transfer report;fw fetch report;Per Regulation Report;D;A Per Regulation Report is generated from a specific regulation in the Compliance dashboard and includes summary and detailed Best Practice information. SmartEvent reports are event-focused.
49. A Check Point administrator faces this situation: An administrator wants to launch the Compliance dashboard from SmartConsole. Which option is the best answer?;LOGS & EVENTS view, new tab, Compliance;Gaia Portal, Software Updates;Expert mode, $FWDIR/scripts;VPN Community, Encrypted Traffic;A;The Compliance dashboard is launched from SmartConsole's LOGS & EVENTS view by adding a new Compliance tab. Gaia updates, scripts, and VPN settings belong to other workflows.
50. A Check Point administrator faces this situation: After correcting a setting, the administrator wants the Compliance engine to evaluate the environment immediately. Which option is the best answer?;cpstop;Compliance Rescan;migrate_server import;fw fetch localhost;B;Compliance Settings include a Rescan action in the Engine Status section. cpstop is disruptive, migrate_server imports databases, and fw fetch loads gateway policy.
51. A Check Point administrator faces this situation: The customer wants remediation tips for configuration issues in gateways, blades, policies, users, and objects. Which option is the best answer?;VPN Tunnel Sharing;Modern Dump;Compliance Action Items;SIC fingerprint;C;Compliance Action Items provide descriptions and corrective suggestions for configuration-related findings. The other options are not remediation guidance systems.
52. A Check Point administrator faces this situation: A SmartEvent deployment may be integrated with the Management architecture, but the customer wants to offload it from the primary management server. Which option is the best answer?;Move SmartEvent to every gateway member;Convert it to a Network Feed;Disable Management HA;Deploy SmartEvent on a dedicated Log or SmartEvent Server;D;The material states SmartEvent is integrated with the management architecture and can optionally be deployed on a dedicated Log or SmartEvent Server. It is not normally placed on every gateway member.
53. A Check Point administrator faces this situation: The environment needs in-place upgrades for Gaia machines. Which option is the best answer?;CPUSE;migrate_server;SmartEvent;Access Role;A;CPUSE is the in-place upgrade mechanism for Gaia machine types. migrate_server migrates management databases, SmartEvent handles event visibility, and Access Roles handle identity-based policy.
54. A Check Point administrator faces this situation: Gateways should be upgraded remotely from SmartConsole, using a workflow that verifies and installs the version upgrade and then installs policy. Which option is the best answer?;Manual Dynamic Object update;Central Deployment with SmartConsole;Compliance Per Regulation Report;VPN Routing;B;Central Deployment with SmartConsole is described as a remote upgrade method and best practice for gateways or clusters. Dynamic Objects, Compliance reports, and VPN Routing do not perform gateway upgrades.
55. A Check Point administrator faces this situation: A very large gateway estate requires automation such as snapshots, scripts, file push/pull, CPUSE package handling, and RMA backup/restore from the Management Server in Expert mode. Which option is the best answer?;SmartEvent Views;LDAP Group;Central Deployment Tool (CDT);Accept all encrypted traffic;C;CDT is the Expert-mode automation utility on the Security Management Server for upgrades and other large-scale operations. It validates gateways, runs scripts, handles CPUSE packages, and can perform additional automation tasks.
56. A Check Point administrator faces this situation: The upgrade plan includes Primary SMS, Management HA peers, and dedicated Log or SmartEvent servers. Which option is the best answer?;Upgrade Log Servers first;Upgrade Standby forever and leave Primary old;Upgrade gateways before verifying the management database;Upgrade the Primary SMS before HA peers and dedicated Log or SmartEvent servers;D;The guidelines emphasize upgrading the Primary Security Management Server before a Management HA server or dedicated Log/SmartEvent servers. The Primary is the authoritative management database upgrade path.
57. A Check Point administrator faces this situation: The source SMS is not connected to the Internet and you must run the Pre-Upgrade Verifier for R82. Which option is the best answer?;./migrate_server verify -v R82 -skip_upgrade_tools_check;./migrate_server import -v R82 -online_only;fw fetch R82;cp_conf finger get -v R82;A;For offline verification, the migrate_server verify command uses -skip_upgrade_tools_check. The import command is not the verifier, and fw fetch or cp_conf do not verify upgrade compatibility.
58. A Check Point administrator faces this situation: The administrator wants the Management database export to include a policy change that is still unpublished. Which option is the best answer?;Install Event Policy only;Publish the change before export;Run cpstop before export;Use VPN Routing;B;migrate_server exports the current published database revision. Unpublished sessions are not included, just as they are not synchronized to HA peers. Publish first if the change must be migrated.
59. A Check Point administrator faces this situation: The Management Server IP address will change during advanced migration. Which option is the best answer?;Enable Accept all encrypted traffic;Create a User Template;Prepare the required JSON configuration file;Run fw fetch localhost;C;The advanced upgrade workflow requires a JSON configuration file if a Management, Log, or SmartEvent Server IP address is changed. VPN and user template actions do not address server identity changes during migration.
60. A Check Point administrator faces this situation: An administrator confuses a Gaia snapshot with migrate_server export. Which option is the best answer?;They are identical operations;Snapshots export only VPN communities;migrate_server exports only CPUSE packages;migrate_server exports the Check Point Management database, while snapshots/backups are system recovery mechanisms;D;A snapshot or system backup is a rollback/recovery mechanism for the machine. migrate_server export is specifically for Management database migration, including objects, policies, certificates, and settings.
61. A Check Point administrator faces this situation: A gateway upgrade has completed and the environment uses Threat Prevention policy. Which option is the best answer?;Install Threat Prevention policy after the upgrade;Delete all VPN communities;Reset SIC on every peer;Disable Updatable Objects;A;The upgrade material calls out that if Threat Prevention policy is used, it must be installed after the installation completes. This is a post-upgrade policy step, not a VPN or SIC reset action.
62. A Check Point administrator faces this situation: Upgrade Tools must be available for Management database export/import, but the server cannot automatically download updates. Which option is the best answer?;Create a Network Feed;Download the Upgrade Tools Package manually from Support Center;Install SmartEvent reports;Use VPN Tunnel Sharing;B;Upgrade Tools can be automatically updated when Internet access and Allow Download are available. Otherwise the package is obtained manually from the Support Center. Feeds, reports, and tunnel sharing do not provide migration tools.
63. A Check Point administrator faces this situation: A clean R82 Management Server has been installed and the exported management database archive is ready. Which option is the best answer?;Run fw fetch localhost;Install Event Policy;Import the database with the Upgrade Tools workflow;Add a Proxy ARP entry;C;Advanced migration imports the exported Management database into the clean target server using the Upgrade Tools. fw fetch loads gateway policy, Event Policy applies SmartEvent changes, and Proxy ARP supports NAT.
64. A Check Point administrator faces this situation: The design is moving from a conventional lab ClusterXL topology to the R82 ElasticXL lab workflow with first and second ElasticXL gateways. Which option is the best answer?;Compliance Blade;LDAP Account Unit;SmartEvent scheduled report;ElasticXL Cluster;D;ElasticXL Cluster is the module that covers documenting policy, reconfiguring the environment, deploying the first ElasticXL gateway, deploying the second, and updating/testing the cluster. The other options are unrelated features.
65. A Check Point administrator faces this situation: Before reconfiguring the security environment for ElasticXL, the lab workflow starts by documenting policy configuration. Which option is the best answer?;Preserve and reapply correct policy and object context during topology changes;Enable SmartEvent PDF output;Create automatic NAT rules for all VPN peers;Replace Management HA synchronization;A;Documenting policy before ElasticXL reconfiguration helps keep track of security policy and object dependencies. It does not enable reporting, NAT generation, or management synchronization.
66. A Check Point administrator faces this situation: A requirement says: monitor policy changes in real time and translate regulatory requirements into actionable best practices with remediation tips. Which option is the best answer?;Central Deployment Tool;Compliance Software Blade;VPN Mesh Community;Dynamic Objects;B;Compliance is the posture and regulatory best-practices feature. CDT automates deployments, VPN Mesh handles site-to-site tunnel topology, and Dynamic Objects solve gateway-local object resolution.
67. A Check Point administrator faces this situation: A requirement says: correlate and investigate security events and produce executive reports. Which option is the best answer?;Compliance;CPUSE;SmartEvent;Manual NAT;C;SmartEvent is event-centric and reporting-centric. Compliance assesses configuration posture. CPUSE upgrades Gaia machines, and Manual NAT handles translation rules.
68. A Check Point administrator faces this situation: A requirement says: one logical object in policy must resolve differently on each gateway. Which option is the best answer?;Updatable Object;Access Role;SmartEvent View;Dynamic Object;D;Dynamic Objects are specifically designed for a named object that resolves locally on each gateway. Updatable Objects and SmartEvent Views do not provide local per-gateway IP resolution.
69. A Check Point administrator faces this situation: A requirement says: use Check Point-maintained SaaS definitions in Access Control, HTTPS Inspection, or Threat Prevention. Which option is the best answer?;Updatable Objects;Network Feeds;User Templates;Management HA;A;Updatable Objects provide predefined, dynamically updated service definitions maintained by Check Point. Network Feeds are external feed sources maintained by the customer or another provider.
70. A Check Point administrator faces this situation: A requirement says: use a customer-controlled HTTPS list of IP addresses or domains as a policy object. Which option is the best answer?;Updatable Object;Network Feed;LDAP Group;CPUSE;B;Network Feeds are the feature for consuming external HTTP/HTTPS lists. Updatable Objects are Check Point-maintained catalogs, LDAP Groups are identity objects, and CPUSE is for software updates.
71. A Check Point administrator faces this situation: A requirement says: provide management server redundancy while avoiding more than one writable management server in normal operation. Which option is the best answer?;ElasticXL;SmartEvent;Management HA;VPN Routing;C;Management HA provides management redundancy and database backup with one Active server at a time in the normal state. ElasticXL concerns gateway clustering and scale, SmartEvent is monitoring, and VPN Routing is tunnel path selection.
72. A Check Point administrator faces this situation: A requirement says: automate gateway upgrades at scale with pre-scripts, post-scripts, package push/import/install, and gateway state validation. Which option is the best answer?;Management HA;Compliance Action Item;VPN Link Selection;Central Deployment Tool;D;CDT is built for automated large-scale deployments from the Management Server in Expert mode. Management HA, Compliance, and Link Selection do not automate upgrade execution.
73. A Check Point administrator faces this situation: A requirement says: create direct tunnels between every pair of VPN gateways in the community. Which option is the best answer?;Mesh VPN Community;Star VPN Community;Network Feed;Manual NAT;A;Mesh communities support direct gateway-to-gateway tunnels among members. Star communities use Center and Satellite structure, which changes which tunnels are direct.
74. A Check Point administrator faces this situation: A requirement says: route traffic between two satellite VPN sites through a central gateway. Which option is the best answer?;Accept all encrypted traffic only;VPN Routing in a Star Community;Proxy ARP;Modern Dump;B;Star VPN Routing allows satellite-to-satellite communication through the Center when configured. Accept all encrypted traffic affects firewall acceptance, not path design. Proxy ARP and Modern Dump are unrelated.
75. A Check Point administrator faces this situation: A requirement says: identify a server fingerprint before trusting a management peer connection. Which option is the best answer?;fw fetch localhost;migrate_server import;cp_conf finger get;dynamic_objects;C;cp_conf finger get displays the fingerprint. fw fetch loads policy, migrate_server imports databases, and dynamic_objects configures local dynamic object mappings.
76. A Check Point administrator faces this situation: A requirement says: stop Check Point processes during a controlled maintenance or failover lab, knowing it can create an outage. Which option is the best answer?;cpinfo -y all;fw fetch <Management address>;migrate_server verify;cpstop;D;cpstop stops Check Point processes and must be treated as disruptive on production systems. cpinfo shows versions, fw fetch loads policy, and migrate_server verifies migration compatibility.
77. A Check Point administrator faces this situation: A requirement says: start Check Point processes again after they were stopped during a management failover test. Which option is the best answer?;cpstart;cpstop;fw fetch localhost;Network Feed Test Feed;A;cpstart starts Check Point processes after cpstop. The similar-looking cpstop does the opposite. fw fetch concerns policy loading and Test Feed validates network feed connectivity.
78. A Check Point administrator faces this situation: A requirement says: validate that the Management API is ready after services start. Which option is the best answer?;fw fetch localhost;api status;cp_conf finger get;migrate_server export;B;api status verifies Management API readiness. It is commonly monitored after starting a management server. The other commands serve policy loading, fingerprint display, or migration export.
79. A Check Point administrator faces this situation: A requirement says: add a custom event pattern for SmartEvent analysis and make it active in the event-processing logic. Which option is the best answer?;Create a Manual NAT rule;Run fw fetch localhost;Create the custom event and install Event Policy;Enable VPN Link Selection;C;SmartEvent Event Policy changes do not take effect just because an object exists. The event policy must be installed. NAT, gateway policy fetching, and VPN Link Selection are separate operational areas.
