OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
K čemu slouží NAT pravidla v Check Point prostředí?;Řídí překlad IP adres při průchodu provozu Security Gatewayí;Řídí pouze autentizaci VPN peerů;Řídí automatické spuštění CPUSE upgradu;Slouží výhradně k tvorbě SmartEvent reportů;A;NAT pravidla určují, jak se mají překládat zdrojové nebo cílové IP adresy provozu.
Jak vznikají automatická NAT pravidla?;Vznikají pouze po spuštění fw logswitch;Vytváří je Correlation Unit podle logů;Vytváří je Security Management Server podle NAT konfigurace objektu;Generuje je VPN tunel při Quick Mode;C;Automatic NAT rules vycházejí z NAT konfigurace síťového nebo host objektu ve SmartConsole.
Kdy se typicky používají manuální NAT pravidla?;Pro specifické scénáře jako port forwarding nebo podmíněná pravidla;Pro synchronizaci Management HA sessions;Pro aktualizaci Deployment Agenta;Pro automatické vytvoření certifikátu ICA;A;Manual NAT pravidla vytváří administrátor, když automatická NAT konfigurace nestačí.
Co charakterizuje Static NAT?;Překlad probíhá pouze pro audit logy;Jedna privátní IP adresa se mapuje na jednu veřejnou IP adresu;Více interních adres se schová za jednu adresu gateway;Provoz se směruje přes VTI;B;Static NAT je one-to-one překlad adresy.
Co charakterizuje Hide NAT?;Používá se pouze pro Management HA server;Jedna interní adresa má vždy pevnou veřejnou adresu;Je to metoda ověřování VPN peerů;Více interních adres se překládá na jednu adresu nebo malou sadu adres;D;Hide NAT je many-to-one překlad, typicky pro odchozí provoz mnoha klientů.
Kde se konfiguruje NAT pro Security Management Server za NATem ve SmartConsole?;V Gaia Portal v části Snapshot Management;V Gateways & Servers na objektu Management Serveru v části NAT;V Logs & Events v části Schedules;V Compliance Dashboard v části Blades;B;Materiál popisuje konfiguraci na objektu A-SMS v části NAT v pohledu Gateways & Servers.
Co způsobí vypnutí volby Apply to Security Gateway Control Connections u Management Serveru za NATem?;Gateway začne používat Aggressive Mode;Vzdálená gateway nebude komunikovat s NAT adresou Management Serveru pro control connections;Vypne se Correlation Unit ve SmartEvent;Automaticky se vytvoří mdss.json;B;Tato volba určuje, zda se NAT aplikuje i na řídicí komunikaci mezi gatewayí a Management Serverem.
K čemu slouží volba Connections from Security Gateways to this server u Management Serveru za NATem?;Určuje, zda gateway použije původní nebo přeloženou adresu Management Serveru;Určuje interval SmartEvent reportů;Určuje, zda se použije Main Mode nebo Quick Mode;Určuje počet členů ElasticXL clusteru;A;Volba řeší, jakou adresu Management Serveru mají gatewaye použít pro komunikaci.
Co znamená volba Do not create automatic NAT rules?;Security Gateway přepne VPN na route-based režim;Manuální NAT pravidla se smažou při publish;Gateway přestane posílat logy na Management Server;Automatická NAT pravidla pro daný objekt se nemají vytvořit nebo použít;D;Tato volba potlačuje automatická NAT pravidla vytvářená z NAT konfigurace objektu.
Co je LDAP Group objekt v Check Pointu?;Uživatelská skupina, jejíž členové jsou definováni v LDAP Directory Serveru;Skupina ElasticXL členů spravovaná přes gClish;Skupina VPN tunelů v Quick Mode;Skupina NAT pravidel vytvořená CPUSE agentem;A;LDAP Group reprezentuje skupinu uživatelů z adresářové služby.
Které tři vlastnosti má poskytovat IPSec VPN tunel podle studijního materiálu?;Licencování, snapshot a CPUSE update;Důvěrnost, integritu a autenticitu;Deduplikaci, kompresi a archivaci;NAT, routing a reporting;B;VPN tunel šifruje data, chrání jejich integritu a ověřuje komunikující strany.
Jaký je hlavní účel protokolu IKE?;Autentizovat peery a dohodnout klíče a metody pro šifrování;Spouštět full sync Management HA;Překládat IP adresy ve Static NAT;Zobrazovat compliance skóre;A;IKE je key management protokol používaný při tvorbě VPN tunelů.
Co je výsledkem IKEv1 Phase I?;Soubor mdss.json;Dvě jednosměrné IPSec Security Associations;Obousměrná IKE Security Association;Automatická NAT pravidla;C;Phase I chrání samotnou IKE komunikaci a vytváří bidirectional IKE SA.
Co je výsledkem IKEv1 Phase II?;Jedna obousměrná IKE SA;Nový Account Unit objekt;Přepnutí Management Serveru do Standby;Dvě jednosměrné IPSec Security Associations;D;Phase II připravuje parametry pro šifrování provozu mezi VPN doménami a vytváří IPSec SAs.
Který režim IKEv1 Phase I je preferovaný a výchozí?;Quick Mode;Aggressive Mode;Main Mode;CREATE_CHILD_SA;C;Main Mode je bezpečnější výchozí režim a používá šest paketů pro vyjednání.
Kdy se má použít Aggressive Mode?;Vždy u interně spravovaných Check Point gatewayí;Pouze při Management HA synchronizaci;Při každém route-based VPN tunelu;Pouze pokud třetí strana nepodporuje Main Mode;D;Aggressive Mode je méně bezpečný a používá se jen kvůli kompatibilitě.
Jak se nazývá IKEv1 Phase II?;Main Mode;Quick Mode;Aggressive Mode;gClish;B;IKEv1 Phase II se označuje jako Quick Mode a slouží k vyjednání IPSec SA pro provoz.
Které výměny používá IKEv2 pro vytvoření tunelu podle materiálu?;Publish a Install Policy;IKE_SA_INIT a IKE_AUTH;Main Mode a Quick Mode;fw logswitch a stopSolr;B;IKEv2 nepoužívá stejný dvoufázový koncept jako IKEv1 a používá výměny IKE_SA_INIT a IKE_AUTH.
Co je Site-to-Site VPN?;Metoda zálohování Gaia snapshotu;IPSec tunel mezi Security Gatewayemi pro zabezpečený provoz mezi sítěmi za nimi;Lokální auditní log administrátorských změn;Nástroj pro aktualizaci Deployment Agenta;B;Site-to-Site VPN propojuje sítě za gatewayemi šifrovaným a autentizovaným tunelem.
Jaký typ peer gatewaye může Check Point Security Gateway použít pro Site-to-Site VPN?;Interně spravovanou, externě spravovanou nebo interoperabilní třetí stranu;Pouze ElasticXL SMO;Pouze SmartEvent Server;Pouze gateway spravovanou stejným Management Serverem;A;Materiál uvádí tři možnosti peerů: Check Point pod stejným managementem, externě spravovaný Check Point a třetí strana.
Jak funguje domain-based VPN identifikace provozu?;Provoz se řídí výhradně podle mdss.json;VPN provoz je určen pouze číslem portu 443;Každý paket s cílem Any je vždy šifrován;Provoz mezi definovanými VPN doménami je označen jako VPN provoz;D;VPN domain je skupina hostů nebo sítí za gatewayí. Provoz mezi doménami se posílá tunelem.
Jak funguje route-based VPN identifikace provozu?;Provoz určuje pouze membership v LDAP Group;Provoz směrovaný na Virtual Tunnel Interface je považován za VPN provoz;Provoz vybere pouze Automatic NAT rule;Provoz se vybírá podle Compliance skóre;B;U route-based VPN rozhoduje routing do VTI, které je navázané na konkrétní VPN tunel.
Které ověření se nepoužívá pro Internally Managed VPN Gateways?;Vzájemná autentizace peerů;Certifikát vydaný ICA;Pre-shared Secret;Validace certifikátu;C;Interně spravované Check Point gatewaye se autentizují certifikáty, PSK se pro ně nepoužívá.
Co je VPN Community?;Sada Compliance Best Practices;Skupina CPUSE balíčků pro upgrade;Skupina SmartEvent Automatic Reactions;Pojmenovaná kolekce VPN domén a gatewayí s definovanými parametry tunelů;D;VPN Community definuje, které gatewaye a domény spolu tvoří VPN a jaké parametry tunelů se použijí.
Jaký vztah platí v Mesh VPN komunitě?;Tunel se vytváří pouze přes VTI;Tunel smí mít vždy jen jednu gateway;Satelity vždy komunikují přes Center Gateway;Každý člen může navázat přímý tunel s každým jiným členem komunity;D;Mesh znamená přímou konektivitu mezi libovolnými gatewayemi v komunitě.
Jaký vztah platí ve Star VPN komunitě?;Všechny gatewaye jsou si rovnocenné jako v Mesh;Používá se pouze u Management HA;Vždy vyžaduje Hide NAT;Gatewaye jsou rozděleny na Center a Satellite;D;Star topologie rozlišuje centrální gatewaye a satelity.
Jak musí komunikovat dva satelity ve Star komunitě, pokud mají mezi sebou posílat VPN provoz?;Přes automatickou Management HA synchronizaci;Přes SmartEvent Server;Přes Center Gateway pomocí VPN routingu;Přímým tunelem bez účasti Center Gateway;C;Dva satelity ve Star komunitě nemají přímý tunel. Provoz se routuje přes Center Gateway.
Jaký je primární účel bezpečnostního monitoringu v Check Point prostředí?;Nahrazovat potřebu Access Control policy;Automaticky provádět hardware refresh gatewayí;Průběžně chránit síť a data identifikací, analýzou a reakcí na hrozby;Vytvářet pouze lokální Gaia uživatele;C;Monitoring slouží k detekci, analýze a reakci na potenciální bezpečnostní hrozby.
Jaký typ logů generuje Security Management Server?;Pouze Compliance skóre;Audit logy administrátorských akcí;Pouze VPN klíče;Výhradně traffic logy z datové roviny;B;Management Server generuje audit logs, tedy záznamy o akcích administrátorů.
Kam Security Gateway standardně posílá traffic logy?;Na Security Management Server;Pouze do lokálního prohlížeče administrátora;Do souboru mdss.json;Na každého VPN peera;A;Gateway generuje traffic logy a ve výchozím stavu je posílá na Management Server.
Kdy dává smysl použít dedikovaný Log Server?;Když je potřeba změnit Main Mode na Aggressive Mode;Když se nasazuje jen jeden Standalone gateway objekt;Když organizace generuje velké množství logů;Když není možné použít Static NAT;C;Dedikovaný Log Server je volitelný a hodí se pro prostředí s vysokým objemem logů.
K čemu slouží SmartConsole Logs?;K zobrazení a dotazování nad sesbíranými logy;K výpočtu md5 hash exportu;K importu CPUSE offline balíčku;K ručnímu přidání ElasticXL člena;A;SmartConsole Logs v pohledu Logs & Events slouží pro prohlížení a vyhledávání logů.
Jaký je hlavní účel SmartEvent Blade?;Spravovat Gaia CPUSE balíčky;Poskytnout jednotný pohled na bezpečnostní rizika, forenzní šetření, compliance a reporting;Provádět překlad IP adres;Nahradit VPN Community;B;SmartEvent slouží k pokročilé korelaci, vyšetřování, přehledu rizik a reportování.
Kde může být SmartEvent nasazen?;Pouze jako VTI rozhraní;Pouze na klientském počítači se SmartConsole;Pouze na každé Security Gateway samostatně;Integrovaně v management architektuře nebo na dedikovaném Log či SmartEvent Serveru;D;Materiál uvádí integraci se Security Management architekturou a možnost dedikovaného serveru.
Odkud se spouští SmartEvent Client ve SmartConsole?;Z VPN Tunnel Utility;Z Gaia Portal v části Backup;Z pohledu Logs & Events přes External Apps;Z NAT tabulky policy;C;SmartEvent se otevírá z Logs & Events, typicky přes New Tab a External Apps.
Co může být potřeba schválit při prvním přístupu ke SmartEvent serveru?;PSK pro všechny VPN tunely;Fingerprint serveru;md5 hash exportu databáze;NAT adresu každého klienta;B;Při prvním kontaktu se serverem se ověřuje fingerprint, aby administrátor potvrdil správný server.
K čemu slouží Correlation Unit ve SmartEvent?;Přidává členy ElasticXL clusteru;Provádí Static NAT;Vytváří Gaia snapshot;Analyzuje log entries a identifikuje události;D;Correlation Unit je komponenta SmartEvent, která zpracovává logy a vytváří bezpečnostní události.
Co mohou dělat Automatic Reactions ve SmartEvent?;Vždy restartovat Security Management Server;Automaticky přepnout IKEv1 na IKEv2;Smazat všechny NAT rules;Odeslat e-mail, blokovat zdroj nebo aktivitu, spustit externí skript nebo poslat SNMP trap;D;Automatic Reactions jsou automatizované reakce na detekované události.
Jak se spouští Compliance Dashboard?;Příkazem vpn tu;Příkazem md5sum;V Logs & Events přes New Tab a volbu Compliance;Z First Time Configuration Wizardu;C;Compliance Dashboard se otevírá přímo ze SmartConsole v části Logs & Events.
Která sada widgetů patří do Compliance Dashboardu?;magg1, Sync, Internal a External pouze jako log widgety;Security Best Practices, Gateways and Servers, Blades, Action Items and Messages a Regulatory Compliance;Main Mode, Quick Mode, Aggressive Mode a CREATE_CHILD_SA;Active, Standby, Sync a Publish;B;Dashboard obsahuje přehled best practices, stav gatewayí a serverů, blades, akční položky a regulatorní compliance.
Co se stane, když Compliance test najde nedostatek?;Vždy se vytvoří VPN tunnel;Vygeneruje se Action Item s popisem nápravných kroků;Management HA se přepne do manuálního režimu;Automaticky se smaže gateway objekt;B;Compliance Blade při zjištění deficitu vytváří Action Item s doporučením nápravy.
Proč je před instalací upgradu nebo hotfixu důležité aktualizovat CPUSE Deployment Agent?;Aby se automaticky vytvořila VPN komunita;Aby Gaia používala aktuální balíčky a uměla zpracovat požadavky konkrétních software packages;Aby se vypnula všechna NAT pravidla;Aby SmartEvent přestal korelovat logy;B;Deployment Agent se aktualizuje před použitím CPUSE pro upgrade nebo hotfix.
Co se má udělat s offline CPUSE balíčkem před jeho ověřením?;Nejprve se musí importovat;Nejprve se musí přidat do LDAP Group;Nejprve se musí zapsat do vpn_route.conf;Nejprve se musí publikovat ve SmartConsole;A;U offline package platí, že balíček musí být importovaný, než jej lze ověřit.
Co CPUSE zobrazí těsně před samotnou instalací upgradu?;Výzvu k zadání PSK pro VPN;Seznam Compliance Action Items;Varování, že proces vyžaduje reboot;Požadavek na ruční vytvoření Dynamic Object;C;Po kliknutí na Install je reboot warning poslední šance proces zastavit.
Co je specifické pro upgrade Security Management Serveru přes CPUSE?;Upgrade probíhá pouze na Security Gateway bez managementu;SmartConsole klient není potřeba po upgradu aktualizovat;Po instalaci souborů a rebootu pokračuje konverze a import databáze do nové verze;Management databáze se nikdy nepřevádí;C;U Management Serveru upgrade po rebootu pokračuje prací s management databází.
Co musí administrátor často udělat se SmartConsole po upgradu Management Serveru?;Aktualizovat SmartConsole klienta na novou verzi;Přepnout všechny VPN tunely na Aggressive Mode;Smazat všechny Correlation Units;Vypnout Management HA synchronizaci;A;SmartConsole klient musí odpovídat nové verzi management prostředí.
Co patří mezi přípravné kroky před upgradem Management nebo Log serveru?;Spustit jen vpn tu;Naplánovat upgrade, publikovat pending changes, vytvořit backup, snapshot a CPinfo;Přepnout všechny objekty na Hide NAT;Vytvořit pouze jedno manuální NAT pravidlo;B;Příprava zahrnuje plán, publikování změn a kompletní zálohovací sadu.
Kdy se má spustit Pre-Upgrade Verifier?;Před provedením upgradu nebo exportu databáze;Pouze při přidávání ElasticXL člena;Pouze při běžném prohlížení logů;Až po smazání starého Management Serveru;A;Pre-Upgrade Verifier ověřuje, že databázi lze převést na požadovanou verzi.
Jaké jsou tři obecné části Advanced Upgrade management prostředí?;Vytvořit VPN komunitu, zapnout NAT a spustit SmartView Web;Přidat LDAP Group, vytvořit Action Item a smazat logy;Naplánovat a připravit, nasadit nový Management Server a migrovat databázi, aktualizovat prostředí ve SmartConsole;Spustit Aggressive Mode, Quick Mode a Main Mode;C;Materiál dělí advanced upgrade na přípravu, migraci databáze na nový server a následnou aktualizaci prostředí.
Co obsahuje Management Server Database?;Pouze CPUSE balíčky;Pouze traffic logy a nic dalšího;Objekty, politiky, certifikáty a další nastavení Check Point prostředí;Pouze Gaia lokální uživatele;C;Management databáze je hlavním nositelem konfigurace bezpečnostního prostředí.
Co platí pro export Management Database pomocí migrate_server?;Nahrazuje nutnost zálohy a snapshotu;Vždy mění IP adresu Management Serveru;Exportuje aktuální publikovanou revizi databáze do archivu .txz;Exportuje automaticky i všechny nepublikované sessions;C;migrate_server export ukládá aktuální stav management databáze do přenositelného archivu.
Co musí být provedeno s nepublikovanými změnami před exportem Management Database?;Musí být publikovány;Musí být ponechány otevřené v SmartConsole;Musí být přesunuty do SmartEvent;Musí být zapsány do mdss.json;A;Export bere aktuální databázovou revizi. Nepublikované změny by se do exportu nedostaly.
Který příkazový nástroj se používá pro export a import Management Database?;gclish;dynamic_objects;vpn tu;migrate_server;D;Upgrade Tools Package obsahuje migrate_server pro export a import management databáze.
Jsou logy a log indexy standardně zahrnuty do exportu migrate_server?;Ne, musí se přidat volbami -l pro logy a -x pro indexy;Ne, nelze je exportovat vůbec;Ano, vždy a bez možnosti vypnutí;Ano, ale pouze u ElasticXL;A;Výchozí export nezahrnuje logy ani indexy. Jejich zahrnutí prodlužuje čas a zvyšuje prostorové nároky.
Proč se po přenosu exportního .txz souboru počítá md5 hash?;Aby se vytvořila VPN komunita;Aby se přidal nový ElasticXL člen;Aby se vypočítalo Compliance skóre;Aby se ověřilo, že přenesený soubor není poškozený;D;Hash původního a přeneseného souboru se porovnává kvůli integritě dat.
V jakém režimu se má přenášet exportovaný databázový soubor?;V binárním režimu;Pouze přes SNMP trap;Pouze přes SmartView Monitor;V textovém režimu s konverzí konců řádků;A;Materiál zdůrazňuje přenos exportovaných databází v binary mode.
Kdy je potřeba vytvořit soubor /var/log/mdss.json?;Při každém vytvoření Manual NAT pravidla;Při každém VPN tunelu s PSK;Při každém spuštění SmartConsole;Když se mění IP adresa Management, Log nebo SmartEvent Serveru v daném prostředí;D;mdss.json mapuje objekty serverů na nové IP adresy při migraci.
Co dělá migrate_server import během importu?;Automaticky vytvoří VPN Mesh komunitu;Automaticky přeinstaluje operační systém Gaia;Automaticky vypne všechny log servery;Automaticky restartuje Check Point služby pomocí cpstop a cpstart;D;Import databáze zahrnuje restart Check Point služeb.
Co se má udělat po dokončení migrace na nový hardware?;Zakázat publish ve SmartConsole;Odpojit starý Management Server od sítě a připojit nový;Nechat oba servery se stejnou IP současně v síti;Smazat všechny certifikáty ICA;B;Při migraci na nový hardware je důležité zabránit konfliktu a po migraci přepnout na nový server.
Co je SMO v ElasticXL clusteru?;Dedikovaný Log Server pro SmartEvent;První appliance, na které se provede konfigurace a která replikuje konfiguraci na ostatní členy;Objekt LDAP skupiny;VPN satelit ve Star komunitě;B;ElasticXL používá Single Management Object. První gateway funguje jako řídicí bod pro členy clusteru.
Co členové ElasticXL clusteru automaticky klonují ze SMO?;Pouze SNMP traps;Software packages, nastavení a security policies;Pouze traffic logy;Pouze lokální heslo admina;B;Materiál uvádí, že členové automaticky klonují software packages, settings a security policies ze SMO.
K čemu slouží gClish v ElasticXL?;K exportu Management Database;K vytvoření automatické NAT konfigurace;Ke správě a monitoringu celého ElasticXL clusteru z jednoho shellu;K vyjednání IKE SA;C;Příkazy v gClish ovlivňují členy clusteru kolektivně.
Kolik minimálně typů rozhraní vyžaduje každý ElasticXL Cluster Member podle materiálu?;Čtyři: Management, Sync, Internal a External;Jedno: pouze Management;Pět: pouze pokud je zapnutý SmartEvent;Dvě: pouze Internal a External;A;ElasticXL vyžaduje minimálně management, sync a dvě datová rozhraní.
Jak je reprezentováno Management rozhraní ElasticXL clusteru?;Jako soubor mdss.json;Jako VTI rozhraní vpn0;Jako bonded interface magg1;Jako Correlation Unit;C;Management interface je dedikované pro management provoz a je reprezentované bonding skupinou magg1.
Co platí pro Sync rozhraní v ElasticXL?;Je konfigurováno jako LDAP Account Unit;Je vždy veřejné external rozhraní;Je dedikované pro synchronizaci členů a v SmartConsole je skryté;Používá se pro NAT překlad klientů;C;Sync interface slouží ke konzistenci stavových informací mezi členy a není běžně viditelné v topologii SmartConsole.
Jaká síť se automaticky používá pro IP adresy Sync bonding group v ElasticXL?;172.16.0.0/12;203.0.113.0/24;10.0.0.0/8;192.0.2.0/24;D;Materiál uvádí automatické přiřazení adres ze sítě 192.0.2.0/24 pro Sync bonding group.
Jaký typ MAC adresy je přiřazen Internal a External datovým rozhraním ElasticXL?;Žádná MAC adresa se nepoužívá;Unicast MAC Address;Multicast MAC Address vždy a bez výjimky;Pouze virtuální MAC z VPN Community;B;Internal i External interface jsou v materiálu popsány jako datová rozhraní s unicast MAC adresou.
Jaký je první krok high-level workflow pro nasazení prvního ElasticXL Security Gateway?;Naplánovat deployment a ověřit požadavky a kompatibilitu;Okamžitě přidat všechny gatewaye přes Pending Gateways;Nejprve vynutit Aggressive Mode;Nejprve spustit Compliance Dashboard;A;Před nasazením se plánuje deployment, ověřují požadavky z release notes a určují klíčové údaje.
Na kterém zařízení se spouští First Time Configuration Wizard v ElasticXL nasazení?;Na každém novém členovi clusteru;Pouze na první appliance, která bude SMO;Pouze na Security Management Serveru;Pouze na dedikovaném SmartEvent Serveru;B;FTW se v ElasticXL workflow spouští jednou na prvním gateway zařízení, které bude SMO.
Co platí pro další ElasticXL členy přidávané ke clusteru?;Musí mít vlastní Management Server databázi;Stačí Gaia a fyzické připojení do stejných sítí, FTW se na nich nespouští;Musí se na nich ručně vytvořit celá policy;Musí být nejdříve nakonfigurovány jako VPN satelity;B;Další členové se zobrazí v SMO a po přidání převezmou konfiguraci.
Která rozhraní nakonfiguruje FTW při prvotní ElasticXL konfiguraci?;Management a Sync rozhraní;Pouze External rozhraní;Všechna Internal, External a DMZ rozhraní;Pouze VTI rozhraní;A;Materiál uvádí, že FTW konfiguruje Management a Sync, ostatní rozhraní se nastavují později.
Co je potřeba ověřit po inicializaci SIC při vytváření ElasticXL objektu?;Že se automaticky vytvořil mdss.json;Že všechny VPN tunely běží v Aggressive Mode;Že všechna rozhraní a bondy s IP adresou kromě Sync jsou v topology results;Že jsou logy a indexy zahrnuté v exportu;C;Při tvorbě objektu má být v topologii vidět vše s IP adresou kromě skrytého Sync rozhraní.
Jak se přidávají další gatewaye do ElasticXL clusteru v high-level workflow?;Přes vpn_route.conf;Přes LDAP Group object;Přes Pending Gateways po jejich připojení do sítí a zapnutí;Přes Automatic Reactions ve SmartEvent;C;Nové appliance se po připojení objeví jako pending a administrátor je přidá do clusteru.
Jak se licencují ElasticXL Security Gateways podle materiálu?;Licence se nikdy neinstalují ručně;Vyžadují lokální licence na jednotlivých členech;Licence se nahrazuje PSK;Licence stačí pouze na SmartConsole klientovi;B;Materiál uvádí, že ElasticXL Security Gateways require local licenses.
Jak se administrátor může přes SSH přesunout na konkrétního člena ElasticXL clusteru?;Příkazem member <memberID>;Příkazem fw logswitch;Příkazem vpn tu option 1;Příkazem migrate_server verify;A;Při práci s clusterem lze použít member <memberID> pro navigaci na konkrétního člena.
Jaký formát jména může automaticky získat první gateway v ElasticXL po nasazení?;Název vždy začínající mdss-;Název clusteru doplněný například o -s01-01;Název shodný s každým satelitem VPN;Název automaticky převzatý z Compliance Action Item;B;Materiál uvádí suffix, kde s01 identifikuje Site 1 a následující 01 Member 1.
Jaké upozornění uvádí lab k ElasticXL v R82?;ElasticXL v produkci vždy vyžaduje LDAP Group;ElasticXL v R82 je produkčně podporován na Check Point Appliances a lab workaround se nemá používat v produkci;ElasticXL je určen výhradně pro SmartEvent reporty;ElasticXL nelze licencovat lokálně;B;Lab materiál výslovně varuje, že laboratorní postup není určen pro produkční nasazení.
