OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Inkluzivní vzdělávání znamená;vytváření pouze speciálních tříd;společné vzdělávání žáků s různými vzdělávacími potřebami s podporou;vzdělávání jen sociálně znevýhodněných žáků;výuku všech žáků se SVP výhradně ve speciálních školách;B;Inkluze usiluje o účast všech žáků v běžném vzdělávání s adekvátní podporou.
Dysortografie je;porucha řeči;porucha pravopisu;porucha čtení;porucha psaní;B;Dysortografie je specifická porucha pravopisu.
Etopedie se zabývá;osobami s poruchou zraku;výchovou a vzděláváním osob s poruchami chování;osobami s poruchou intelektu;osobami s vadami sluchu;B;Etopedie je speciálněpedagogická disciplína zaměřená na poruchy chování a rizikové chování.
Vzdělávání žáků se SVP se v současné škole zajišťuje hlavně pomocí;jen kázeňských opatření;výhradně ústavní výchovy;podpůrných opatření;pomáhajících a kontrolních opatření;C;Podpůrná opatření jsou nástrojem podpory žáků se speciálními vzdělávacími potřebami.
Možnosti hodnocení žáků se SVP zahrnují;slovní hodnocení, klasifikaci známkou, případně kombinované/bodové formy dle potřeb;pouze nehodnocení;pouze známky bez úprav;výhradně tresty;A;Hodnocení může být přizpůsobeno tak, aby bylo spravedlivé, srozumitelné a podpůrné.
Speciálně pedagogické centrum typicky poskytuje;jen výuku všech předmětů;pouze přijímací zkoušky;diagnostiku, poradenství a podporu žákům se zdravotním postižením, škole i rodině;výhradně dohled nad školní jídelnou;C;SPC je školské poradenské zařízení zaměřené na podporu žáků s postižením a jejich okolí.
Pojem Speciální pedagogika ve speciální pedagogice nejlépe znamená;jen administrativa škol;věda o edukaci, podpoře a rozvoji osob se speciálními vzdělávacími potřebami;výhradně výuka nadaných bez podpory;pouze lékařská chirurgie;B;Speciální pedagogika je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Somatopedie ve speciální pedagogice nejlépe znamená;disciplína zrakového postižení;disciplína zaměřená na osoby s tělesným postižením a zdravotním oslabením;disciplína vad řeči;disciplína poruch chování;B;Somatopedie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Psychopedie ve speciální pedagogice nejlépe znamená;disciplína zaměřená na osoby s mentálním postižením;disciplína pro školní management;disciplína sluchového postižení;disciplína tělesné výchovy;A;Psychopedie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Logopedie ve speciální pedagogice nejlépe znamená;disciplína zrakového postižení;disciplína zaměřená na narušenou komunikační schopnost;disciplína školní ekonomiky;disciplína pouze pro nadané;B;Logopedie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Tyflopedie / oftalmopedie ve speciální pedagogice nejlépe znamená;disciplína sluchového postižení;disciplína poruch chování;disciplína zaměřená na osoby se zrakovým postižením;disciplína pracovní výchovy;C;Tyflopedie / oftalmopedie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Surdopedie ve speciální pedagogice nejlépe znamená;disciplína mentálního postižení;disciplína zaměřená na osoby se sluchovým postižením;disciplína poruch učení;disciplína školního práva;B;Surdopedie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Etopedie ve speciální pedagogice nejlépe znamená;disciplína zaměřená na osoby s poruchami chování;disciplína vad řeči;disciplína zrakového postižení;disciplína nadání;A;Etopedie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Specifické poruchy učení ve speciální pedagogice nejlépe znamená;výhradně zrakové vady;obtíže jako dyslexie, dysgrafie, dysortografie a dyskalkulie při zachované inteligenci;jen kázeňské přestupky;pouze mentální postižení;B;Specifické poruchy učení je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Dyslexie ve speciální pedagogice nejlépe znamená;poruchu početních schopností;poruchu výslovnosti;poruchu pravopisu;specifickou poruchu čtení;D;Dyslexie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Dyskalkulie ve speciální pedagogice nejlépe znamená;poruchu sluchu;poruchu čtení;poruchu plynulosti řeči;specifickou poruchu matematických schopností;D;Dyskalkulie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Dyspraxie ve speciální pedagogice nejlépe znamená;poruchu zraku;poruchu plánování a koordinace pohybů;poruchu sluchu;poruchu pravopisu;B;Dyspraxie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Dyslalie ve speciální pedagogice nejlépe znamená;poruchu sluchové protetiky;poruchu početních schopností;poruchu čtení;poruchu výslovnosti jednotlivých hlásek;D;Dyslalie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Afázie ve speciální pedagogice nejlépe znamená;tělesné postižení;vrozenou poruchu pravopisu;získanou poruchu řeči při poškození mozku;specifickou poruchu čtení;C;Afázie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Dysartrie ve speciální pedagogice nejlépe znamená;poruchu artikulace způsobenou narušením motoriky řeči;sociální znevýhodnění;poruchu matematických dovedností;poruchu školní docházky;A;Dysartrie je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Alternativní a augmentativní komunikace ve speciální pedagogice nejlépe znamená;systémy nahrazující nebo doplňující mluvenou řeč;metodu trestání;výhradně známkování;pouze tělocvik;A;Alternativní a augmentativní komunikace je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Braillovo písmo ve speciální pedagogice nejlépe znamená;diagnostický test IQ;metodu reedukace dyslexie;znakový jazyk neslyšících;hmatové bodové písmo pro osoby se zrakovým postižením;D;Braillovo písmo je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Český znakový jazyk ve speciální pedagogice nejlépe znamená;univerzální mezinárodní pantomimu;metodu výuky čtení;pouhou prstovou abecedu češtiny;přirozený jazyk komunity neslyšících s vlastní gramatikou;D;Český znakový jazyk je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Kochleární implantát ve speciální pedagogice nejlépe znamená;zrakovou pomůcku;didaktický test;ortopedickou pomůcku;sluchovou neuroprotézu stimulující sluchový nerv;D;Kochleární implantát je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem DMO ve speciální pedagogice nejlépe znamená;dyslexii matematických operací;diagnózu mimořádného nadání;dílčí metodu osvojování;dětskou mozkovou obrnu;D;DMO je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Downův syndrom ve speciální pedagogice nejlépe znamená;poruchu výslovnosti;výhradně poruchu zraku;získanou ztrátu řeči;geneticky podmíněný syndrom často spojený s mentálním postižením;D;Downův syndrom je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Demence ve speciální pedagogice nejlépe znamená;běžnou nepozornost;pouze alternativní školu;získaný pokles již rozvinutých kognitivních schopností;vrozenou specifickou poruchu učení;C;Demence je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem PAS ve speciální pedagogice nejlépe znamená;poruchy pouze sluchu;průběžné alternativní studium;program aktivní školy;poruchy autistického spektra s odlišnostmi v sociální komunikaci a vzorcích chování;D;PAS je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Strukturované učení u PAS ve speciální pedagogice nejlépe znamená;jasnou organizaci prostoru, času, činností a vizuální podporu;nahodilou výuku bez pravidel;výhradně tresty;ignorování komunikace;A;Strukturované učení u PAS je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Souběžné postižení více vadami ve speciální pedagogice nejlépe znamená;pouze dvojí známkování;jen špatné chování;kombinaci dvou či více postižení vyžadující komplexní podporu;běžnou únavu žáka;C;Souběžné postižení více vadami je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Integrace ve speciální pedagogice nejlépe znamená;odmítnutí podpůrných opatření;začlenění žáka se SVP do běžného prostředí s podporou;zrušení individuální podpory;výhradní vzdělávání mimo běžné školy;B;Integrace je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Inkluze ve speciální pedagogice nejlépe znamená;pouze diagnostiku v poradně;výhradně segregaci;přizpůsobení žáka bez změny školy;přizpůsobení školy rozmanitosti žáků a odstraňování bariér;D;Inkluze je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Reedukace ve speciální pedagogice nejlépe znamená;potrestání žáka za obtíže;cílenou nápravu a rozvoj oslabených funkcí a dovedností;administrativní zápis;výměnu učebnice;B;Reedukace je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Kompenzace ve speciální pedagogice nejlépe znamená;zrušení podpory;ignorování obtíží;pouhé opakování ročníku;využití pomůcek a strategií nahrazujících oslabenou funkci;D;Kompenzace je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Poradenské služby ve speciální pedagogice nejlépe znamená;správu budov;jen sankce žákům;výhradně přijímací zkoušky;diagnostiku, konzultace, doporučení a podporu žákům, rodičům i školám;D;Poradenské služby je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Ústavní výchova ve speciální pedagogice nejlépe znamená;běžný školní trest;metoda čtení;forma školního projektu;soudem nařízené opatření zajišťující péči mimo rodinu;D;Ústavní výchova je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Ochranná výchova ve speciální pedagogice nejlépe znamená;ochranné opatření ukládané soudem v souvislosti s rizikovým/protiprávním jednáním;pochvala za prospěch;reedukace pravopisu;dobrovolný kroužek;A;Ochranná výchova je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Pojem Osobní asistence ve speciální pedagogice nejlépe znamená;diagnostiku IQ;náhradu učitele ve všech předmětech;službu podpory soběstačnosti a účasti člověka s postižením;pouze školní trest;C;Osobní asistence je důležitý pojem pro orientaci ve speciálněpedagogické diagnostice, edukaci a podpoře žáků se SVP.
Které tvrzení nejlépe odpovídá pojmu „Speciální pedagogika“?;pouze lékařská chirurgie;jen administrativa škol;výhradně výuka nadaných bez podpory;věda o edukaci, podpoře a rozvoji osob se speciálními vzdělávacími potřebami;D;Správná možnost vystihuje běžně užívané pojetí pojmu Speciální pedagogika ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Somatopedie“?;disciplína poruch chování;disciplína zrakového postižení;disciplína vad řeči;disciplína zaměřená na osoby s tělesným postižením a zdravotním oslabením;D;Správná možnost vystihuje běžně užívané pojetí pojmu Somatopedie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Psychopedie“?;disciplína sluchového postižení;disciplína zaměřená na osoby s mentálním postižením;disciplína tělesné výchovy;disciplína pro školní management;B;Správná možnost vystihuje běžně užívané pojetí pojmu Psychopedie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Logopedie“?;disciplína školní ekonomiky;disciplína zrakového postižení;disciplína zaměřená na narušenou komunikační schopnost;disciplína pouze pro nadané;C;Správná možnost vystihuje běžně užívané pojetí pojmu Logopedie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Tyflopedie / oftalmopedie“?;disciplína zaměřená na osoby se zrakovým postižením;disciplína sluchového postižení;disciplína poruch chování;disciplína pracovní výchovy;A;Správná možnost vystihuje běžně užívané pojetí pojmu Tyflopedie / oftalmopedie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Surdopedie“?;disciplína školního práva;disciplína zaměřená na osoby se sluchovým postižením;disciplína poruch učení;disciplína mentálního postižení;B;Správná možnost vystihuje běžně užívané pojetí pojmu Surdopedie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Etopedie“?;disciplína nadání;disciplína vad řeči;disciplína zrakového postižení;disciplína zaměřená na osoby s poruchami chování;D;Správná možnost vystihuje běžně užívané pojetí pojmu Etopedie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Specifické poruchy učení“?;obtíže jako dyslexie, dysgrafie, dysortografie a dyskalkulie při zachované inteligenci;výhradně zrakové vady;jen kázeňské přestupky;pouze mentální postižení;A;Správná možnost vystihuje běžně užívané pojetí pojmu Specifické poruchy učení ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Dyslexie“?;poruchu výslovnosti;poruchu pravopisu;specifickou poruchu čtení;poruchu početních schopností;C;Správná možnost vystihuje běžně užívané pojetí pojmu Dyslexie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Dyskalkulie“?;poruchu sluchu;poruchu čtení;specifickou poruchu matematických schopností;poruchu plynulosti řeči;C;Správná možnost vystihuje běžně užívané pojetí pojmu Dyskalkulie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Dyspraxie“?;poruchu plánování a koordinace pohybů;poruchu zraku;poruchu sluchu;poruchu pravopisu;A;Správná možnost vystihuje běžně užívané pojetí pojmu Dyspraxie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Dyslalie“?;poruchu výslovnosti jednotlivých hlásek;poruchu sluchové protetiky;poruchu čtení;poruchu početních schopností;A;Správná možnost vystihuje běžně užívané pojetí pojmu Dyslalie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Afázie“?;vrozenou poruchu pravopisu;tělesné postižení;specifickou poruchu čtení;získanou poruchu řeči při poškození mozku;D;Správná možnost vystihuje běžně užívané pojetí pojmu Afázie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Dysartrie“?;poruchu školní docházky;poruchu matematických dovedností;sociální znevýhodnění;poruchu artikulace způsobenou narušením motoriky řeči;D;Správná možnost vystihuje běžně užívané pojetí pojmu Dysartrie ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Alternativní a augmentativní komunikace“?;výhradně známkování;systémy nahrazující nebo doplňující mluvenou řeč;pouze tělocvik;metodu trestání;B;Správná možnost vystihuje běžně užívané pojetí pojmu Alternativní a augmentativní komunikace ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Braillovo písmo“?;hmatové bodové písmo pro osoby se zrakovým postižením;znakový jazyk neslyšících;diagnostický test IQ;metodu reedukace dyslexie;A;Správná možnost vystihuje běžně užívané pojetí pojmu Braillovo písmo ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Český znakový jazyk“?;pouhou prstovou abecedu češtiny;univerzální mezinárodní pantomimu;přirozený jazyk komunity neslyšících s vlastní gramatikou;metodu výuky čtení;C;Správná možnost vystihuje běžně užívané pojetí pojmu Český znakový jazyk ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Kochleární implantát“?;didaktický test;zrakovou pomůcku;sluchovou neuroprotézu stimulující sluchový nerv;ortopedickou pomůcku;C;Správná možnost vystihuje běžně užívané pojetí pojmu Kochleární implantát ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „DMO“?;dětskou mozkovou obrnu;diagnózu mimořádného nadání;dílčí metodu osvojování;dyslexii matematických operací;A;Správná možnost vystihuje běžně užívané pojetí pojmu DMO ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Downův syndrom“?;geneticky podmíněný syndrom často spojený s mentálním postižením;poruchu výslovnosti;získanou ztrátu řeči;výhradně poruchu zraku;A;Správná možnost vystihuje běžně užívané pojetí pojmu Downův syndrom ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Demence“?;získaný pokles již rozvinutých kognitivních schopností;vrozenou specifickou poruchu učení;běžnou nepozornost;pouze alternativní školu;A;Správná možnost vystihuje běžně užívané pojetí pojmu Demence ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „PAS“?;poruchy autistického spektra s odlišnostmi v sociální komunikaci a vzorcích chování;poruchy pouze sluchu;průběžné alternativní studium;program aktivní školy;A;Správná možnost vystihuje běžně užívané pojetí pojmu PAS ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Strukturované učení u PAS“?;jasnou organizaci prostoru, času, činností a vizuální podporu;ignorování komunikace;nahodilou výuku bez pravidel;výhradně tresty;A;Správná možnost vystihuje běžně užívané pojetí pojmu Strukturované učení u PAS ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Souběžné postižení více vadami“?;jen špatné chování;běžnou únavu žáka;kombinaci dvou či více postižení vyžadující komplexní podporu;pouze dvojí známkování;C;Správná možnost vystihuje běžně užívané pojetí pojmu Souběžné postižení více vadami ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Integrace“?;výhradní vzdělávání mimo běžné školy;zrušení individuální podpory;začlenění žáka se SVP do běžného prostředí s podporou;odmítnutí podpůrných opatření;C;Správná možnost vystihuje běžně užívané pojetí pojmu Integrace ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Inkluze“?;výhradně segregaci;pouze diagnostiku v poradně;přizpůsobení školy rozmanitosti žáků a odstraňování bariér;přizpůsobení žáka bez změny školy;C;Správná možnost vystihuje běžně užívané pojetí pojmu Inkluze ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Reedukace“?;cílenou nápravu a rozvoj oslabených funkcí a dovedností;potrestání žáka za obtíže;výměnu učebnice;administrativní zápis;A;Správná možnost vystihuje běžně užívané pojetí pojmu Reedukace ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Kompenzace“?;pouhé opakování ročníku;zrušení podpory;ignorování obtíží;využití pomůcek a strategií nahrazujících oslabenou funkci;D;Správná možnost vystihuje běžně užívané pojetí pojmu Kompenzace ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Poradenské služby“?;výhradně přijímací zkoušky;diagnostiku, konzultace, doporučení a podporu žákům, rodičům i školám;správu budov;jen sankce žákům;B;Správná možnost vystihuje běžně užívané pojetí pojmu Poradenské služby ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Ústavní výchova“?;běžný školní trest;metoda čtení;soudem nařízené opatření zajišťující péči mimo rodinu;forma školního projektu;C;Správná možnost vystihuje běžně užívané pojetí pojmu Ústavní výchova ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Ochranná výchova“?;pochvala za prospěch;reedukace pravopisu;ochranné opatření ukládané soudem v souvislosti s rizikovým/protiprávním jednáním;dobrovolný kroužek;C;Správná možnost vystihuje běžně užívané pojetí pojmu Ochranná výchova ve speciální pedagogice.
Které tvrzení nejlépe odpovídá pojmu „Osobní asistence“?;náhradu učitele ve všech předmětech;službu podpory soběstačnosti a účasti člověka s postižením;diagnostiku IQ;pouze školní trest;B;Správná možnost vystihuje běžně užívané pojetí pojmu Osobní asistence ve speciální pedagogice.
U žáka se řeší oblast „Speciální pedagogika“. Co je pro ni nejtypičtější?;výhradně výuka nadaných bez podpory;jen administrativa škol;věda o edukaci, podpoře a rozvoji osob se speciálními vzdělávacími potřebami;pouze lékařská chirurgie;C;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Somatopedie“. Co je pro ni nejtypičtější?;disciplína zaměřená na osoby s tělesným postižením a zdravotním oslabením;disciplína poruch chování;disciplína vad řeči;disciplína zrakového postižení;A;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Psychopedie“. Co je pro ni nejtypičtější?;disciplína tělesné výchovy;disciplína zaměřená na osoby s mentálním postižením;disciplína sluchového postižení;disciplína pro školní management;B;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Logopedie“. Co je pro ni nejtypičtější?;disciplína pouze pro nadané;disciplína školní ekonomiky;disciplína zrakového postižení;disciplína zaměřená na narušenou komunikační schopnost;D;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Tyflopedie / oftalmopedie“. Co je pro ni nejtypičtější?;disciplína sluchového postižení;disciplína poruch chování;disciplína pracovní výchovy;disciplína zaměřená na osoby se zrakovým postižením;D;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Surdopedie“. Co je pro ni nejtypičtější?;disciplína poruch učení;disciplína mentálního postižení;disciplína zaměřená na osoby se sluchovým postižením;disciplína školního práva;C;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Etopedie“. Co je pro ni nejtypičtější?;disciplína vad řeči;disciplína nadání;disciplína zaměřená na osoby s poruchami chování;disciplína zrakového postižení;C;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Specifické poruchy učení“. Co je pro ni nejtypičtější?;pouze mentální postižení;výhradně zrakové vady;jen kázeňské přestupky;obtíže jako dyslexie, dysgrafie, dysortografie a dyskalkulie při zachované inteligenci;D;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Dyslexie“. Co je pro ni nejtypičtější?;poruchu pravopisu;specifickou poruchu čtení;poruchu početních schopností;poruchu výslovnosti;B;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
U žáka se řeší oblast „Dyskalkulie“. Co je pro ni nejtypičtější?;specifickou poruchu matematických schopností;poruchu plynulosti řeči;poruchu čtení;poruchu sluchu;A;Tato oblast se ve speciální pedagogice řeší podle povahy obtíží, podpůrných opatření a edukačních potřeb žáka.
