OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Pojem Flow v pedagogické psychologii nejlépe označuje;výhradně spánek;stav úplné nudy;trest po špatné známce;stav hlubokého zaujetí činností při rovnováze výzvy a dovedností;D;Flow je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Vnitřní motivace v pedagogické psychologii nejlépe označuje;pouze známku;administrativní příkaz;motivaci vycházející ze zájmu a smyslu činnosti;výhradně peněžní odměnu;C;Vnitřní motivace je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Vnější motivace v pedagogické psychologii nejlépe označuje;spontánní poznávání bez odměny;čistou zvědavost;motivaci vycházející z odměny, tlaku nebo očekávání okolí;radost z činnosti samotné;C;Vnější motivace je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Sebepojetí žáka v pedagogické psychologii nejlépe označuje;obraz, který má žák o sobě a svých schopnostech;typ tabule;školní dokumentaci;počet hodin v rozvrhu;A;Sebepojetí žáka je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Self-efficacy v pedagogické psychologii nejlépe označuje;úroveň příjmu rodičů;přesvědčení o vlastní schopnosti zvládnout úkol;typ učebnice;délku přestávky;B;Self-efficacy je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Atribuční styl v pedagogické psychologii nejlépe označuje;pouhé opisování textu;typ školního nábytku;druh vysvědčení;způsob vysvětlování příčin úspěchu a neúspěchu;D;Atribuční styl je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Školní stres v pedagogické psychologii nejlépe označuje;výhradně absenci učiva;druh testové položky;pouze tělesnou výchovu;psychosociální zátěž spojenou s nároky školy;D;Školní stres je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Psychohygiena žáka v pedagogické psychologii nejlépe označuje;výhradně úklid třídy;jen hygienu rukou;podporu duševního zdraví, režimu, odpočinku a zvládání zátěže;pouze známkování;C;Psychohygiena žáka je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Třídní klima v pedagogické psychologii nejlépe označuje;typ učebnice;sdílené vnímání vztahů, bezpečí a atmosféry ve třídě;teplotu v místnosti;počet lavic;B;Třídní klima je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Sociometrie v pedagogické psychologii nejlépe označuje;měření IQ;hodnocení učebnice;metodu mapování vztahů a voleb ve skupině;test pravopisu;C;Sociometrie je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Autorita učitele v pedagogické psychologii nejlépe označuje;automatický nárok bez chování;jen fyzickou sílu;pouze strach z trestu;uznávaný vliv učitele založený na odbornosti, vztahu a pravidlech;D;Autorita učitele je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Třídní pravidla v pedagogické psychologii nejlépe označuje;výhradně školní oběd;náhodné pokyny;sdíleně vyjasněná očekávání chování ve třídě;pouze seznam známek;C;Třídní pravidla je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Odměna ve výchově v pedagogické psychologii nejlépe označuje;trest za chybu;posilující zpětnou vazbu podporující žádoucí chování;diagnózu poruchy;vždy manipulaci a riziko;B;Odměna ve výchově je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Trest ve výchově v pedagogické psychologii nejlépe označuje;nepříjemný následek nebo odebrání výhody po nežádoucím chování;diagnostika nadání;forma vnitřní motivace;vždy nejlepší výchovný prostředek;A;Trest ve výchově je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Minimální preventivní program v pedagogické psychologii nejlépe označuje;pouze test znalostí;školní dokument prevence rizikového chování;osobní portfolio žáka;didaktickou pomůcku;B;Minimální preventivní program je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem PPP v pedagogické psychologii nejlépe označuje;povinný písemný plán;portfolio pedagogické praxe;pedagogicko-psychologickou poradnu;program pro prázdniny;C;PPP je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem SPC v pedagogické psychologii nejlépe označuje;systém přijímacího řízení;školní preventivní cvičení;speciálně pedagogické centrum;soubor písemných cílů;C;SPC je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem SVP v pedagogické psychologii nejlépe označuje;sociální vzdělávací plán;slovní výstup pedagoga;středisko výchovné péče;státní výukový program;C;SVP je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Školní poradenské pracoviště v pedagogické psychologii nejlépe označuje;ministerský úřad;poradenské služby ve škole pro žáky, rodiče a pedagogy;jen ředitelnu;školní kuchyň;B;Školní poradenské pracoviště je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem Nadaný žák v pedagogické psychologii nejlépe označuje;žák, který se nemusí učit;žák s vždy perfektním chováním;žák s vysokým potenciálem v jedné nebo více oblastech, který potřebuje odpovídající podporu;žák bez potřeby podpory;C;Nadaný žák je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem PLPP v pedagogické psychologii nejlépe označuje;plán pedagogické podpory pro mírnější podpůrná opatření;písemný list přestupků;povinný léčebný psychologický protokol;program letních prázdnin;A;PLPP je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Pojem IVP v pedagogické psychologii nejlépe označuje;izolovanou výuku bez cíle;interní vyučovací předpis;identifikační výpis pedagoga;individuální vzdělávací plán pro žáka se specifickými potřebami za stanovených podmínek;D;IVP je v pedagogicko-psychologickém kontextu spojován s možnostmi podpory učení, vývoje nebo fungování žáka ve škole.
Učitel chce při práci se žáky využít koncept „Biologická determinace vývoje“. Co by měl sledovat především?;vliv dědičnosti, zrání nervové soustavy a tělesného vývoje;pouze vliv známek;výhradně volbu učebnice;jen školní řád;A;V praxi je u konceptu Biologická determinace vývoje podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Sociální determinace vývoje“. Co by měl sledovat především?;jen tělesnou výšku;výhradně genetické faktory;pouze reflexy;vliv rodiny, školy, vrstevníků a kultury;D;V praxi je u konceptu Sociální determinace vývoje podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Piagetova teorie“. Co by měl sledovat především?;vývoj kognitivních struktur a stadií myšlení;psychosexuální stadia;pyramidu potřeb;výhradně posilování reakcí;A;V praxi je u konceptu Piagetova teorie podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Vygotského teorie“. Co by měl sledovat především?;učení jen trestem;vrozené archetypy;neměnnost inteligence;sociální zprostředkování učení, jazyk a zónu nejbližšího vývoje;D;V praxi je u konceptu Vygotského teorie podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Kolbův cyklus učení“. Co by měl sledovat především?;konkrétní zkušenost, reflexi, zobecnění a experimentování;jen memorování definic;pouze trestání chyb;výhradně klasifikaci;A;V praxi je u konceptu Kolbův cyklus učení podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Korthagenův reflektivní model“. Co by měl sledovat především?;automatické známkování;systematickou reflexi pedagogické zkušenosti;frontální výklad bez reflexe;diagnostiku zraku;B;V praxi je u konceptu Korthagenův reflektivní model podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Styl učení“. Co by měl sledovat především?;neměnnou diagnózu inteligence;preferovaný způsob přijímání a zpracování informací;trest za chyby;druh školního zákona;B;V praxi je u konceptu Styl učení podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Metakognice“. Co by měl sledovat především?;školní docházku;pouhé opisování;uvědomování a řízení vlastního poznávání a učení;fyzickou koordinaci;C;V praxi je u konceptu Metakognice podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Autoregulace učení“. Co by měl sledovat především?;pouze vnější kontrolu učitelem;trestání chyb;náhodné učení bez cíle;plánování, monitorování a hodnocení vlastního učení;D;V praxi je u konceptu Autoregulace učení podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Prokrastinace“. Co by měl sledovat především?;skupinovou dynamiku;odkládání úkolů navzdory negativním důsledkům;rychlé dokončování práce;diagnostiku nadání;B;V praxi je u konceptu Prokrastinace podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Flow“. Co by měl sledovat především?;stav hlubokého zaujetí činností při rovnováze výzvy a dovedností;stav úplné nudy;výhradně spánek;trest po špatné známce;A;V praxi je u konceptu Flow podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Vnitřní motivace“. Co by měl sledovat především?;administrativní příkaz;pouze známku;výhradně peněžní odměnu;motivaci vycházející ze zájmu a smyslu činnosti;D;V praxi je u konceptu Vnitřní motivace podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Vnější motivace“. Co by měl sledovat především?;motivaci vycházející z odměny, tlaku nebo očekávání okolí;čistou zvědavost;spontánní poznávání bez odměny;radost z činnosti samotné;A;V praxi je u konceptu Vnější motivace podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Sebepojetí žáka“. Co by měl sledovat především?;obraz, který má žák o sobě a svých schopnostech;typ tabule;počet hodin v rozvrhu;školní dokumentaci;A;V praxi je u konceptu Sebepojetí žáka podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Self-efficacy“. Co by měl sledovat především?;typ učebnice;délku přestávky;přesvědčení o vlastní schopnosti zvládnout úkol;úroveň příjmu rodičů;C;V praxi je u konceptu Self-efficacy podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Atribuční styl“. Co by měl sledovat především?;pouhé opisování textu;způsob vysvětlování příčin úspěchu a neúspěchu;typ školního nábytku;druh vysvědčení;B;V praxi je u konceptu Atribuční styl podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Školní stres“. Co by měl sledovat především?;druh testové položky;psychosociální zátěž spojenou s nároky školy;pouze tělesnou výchovu;výhradně absenci učiva;B;V praxi je u konceptu Školní stres podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Psychohygiena žáka“. Co by měl sledovat především?;pouze známkování;podporu duševního zdraví, režimu, odpočinku a zvládání zátěže;výhradně úklid třídy;jen hygienu rukou;B;V praxi je u konceptu Psychohygiena žáka podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Třídní klima“. Co by měl sledovat především?;sdílené vnímání vztahů, bezpečí a atmosféry ve třídě;teplotu v místnosti;počet lavic;typ učebnice;A;V praxi je u konceptu Třídní klima podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Sociometrie“. Co by měl sledovat především?;metodu mapování vztahů a voleb ve skupině;test pravopisu;měření IQ;hodnocení učebnice;A;V praxi je u konceptu Sociometrie podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Autorita učitele“. Co by měl sledovat především?;uznávaný vliv učitele založený na odbornosti, vztahu a pravidlech;automatický nárok bez chování;jen fyzickou sílu;pouze strach z trestu;A;V praxi je u konceptu Autorita učitele podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Třídní pravidla“. Co by měl sledovat především?;výhradně školní oběd;sdíleně vyjasněná očekávání chování ve třídě;náhodné pokyny;pouze seznam známek;B;V praxi je u konceptu Třídní pravidla podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Odměna ve výchově“. Co by měl sledovat především?;posilující zpětnou vazbu podporující žádoucí chování;vždy manipulaci a riziko;diagnózu poruchy;trest za chybu;A;V praxi je u konceptu Odměna ve výchově podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Trest ve výchově“. Co by měl sledovat především?;forma vnitřní motivace;vždy nejlepší výchovný prostředek;diagnostika nadání;nepříjemný následek nebo odebrání výhody po nežádoucím chování;D;V praxi je u konceptu Trest ve výchově podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Minimální preventivní program“. Co by měl sledovat především?;didaktickou pomůcku;osobní portfolio žáka;školní dokument prevence rizikového chování;pouze test znalostí;C;V praxi je u konceptu Minimální preventivní program podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „PPP“. Co by měl sledovat především?;povinný písemný plán;program pro prázdniny;portfolio pedagogické praxe;pedagogicko-psychologickou poradnu;D;V praxi je u konceptu PPP podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „SPC“. Co by měl sledovat především?;školní preventivní cvičení;speciálně pedagogické centrum;systém přijímacího řízení;soubor písemných cílů;B;V praxi je u konceptu SPC podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „SVP“. Co by měl sledovat především?;sociální vzdělávací plán;středisko výchovné péče;státní výukový program;slovní výstup pedagoga;B;V praxi je u konceptu SVP podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Školní poradenské pracoviště“. Co by měl sledovat především?;poradenské služby ve škole pro žáky, rodiče a pedagogy;školní kuchyň;jen ředitelnu;ministerský úřad;A;V praxi je u konceptu Školní poradenské pracoviště podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „Nadaný žák“. Co by měl sledovat především?;žák, který se nemusí učit;žák s vždy perfektním chováním;žák s vysokým potenciálem v jedné nebo více oblastech, který potřebuje odpovídající podporu;žák bez potřeby podpory;C;V praxi je u konceptu Nadaný žák podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „PLPP“. Co by měl sledovat především?;písemný list přestupků;program letních prázdnin;povinný léčebný psychologický protokol;plán pedagogické podpory pro mírnější podpůrná opatření;D;V praxi je u konceptu PLPP podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Učitel chce při práci se žáky využít koncept „IVP“. Co by měl sledovat především?;individuální vzdělávací plán pro žáka se specifickými potřebami za stanovených podmínek;izolovanou výuku bez cíle;interní vyučovací předpis;identifikační výpis pedagoga;A;V praxi je u konceptu IVP podstatné rozpoznat jeho dopad na učení, motivaci, vztahy nebo podporu žáka.
Konvergentní myšlení je typické tím, že;směřuje k jednomu správnému nebo nejlepšímu řešení;produkuje co nejvíce originálních odpovědí;je totéž co fantazie;znamená sociální nápodobu;A;Konvergentní myšlení se uplatňuje tam, kde je cílem najít správné řešení podle daných kritérií.
Divergentní myšlení je významné zejména pro;mechanické zapamatování bez porozumění;klasické podmiňování;tvořivost a produkci více možných řešení;měření tělesné výšky;C;Divergentní myšlení generuje varianty a podporuje kreativitu.
Klasické podmiňování je spojeno především se jménem;Carl Rogers;Jean Piaget;Ivan P. Pavlov;Abraham Maslow;C;Pavlov popsal učení asociací mezi podněty.
Operantní podmiňování je spojeno především s;archetypy;posilováním důsledků chování;stadii kognitivního vývoje;nevědomými sny;B;Operantní učení pracuje s tím, jak následky chování zvyšují nebo snižují jeho výskyt.
Observační učení podle Bandury znamená;učení bez sociálního prostředí;učení výhradně trestem;učení pozorováním modelu a následků jeho chování;učení pouze biologickým zráním;C;Bandura zdůraznil modelování a zástupné posilování.
Kohlbergova teorie se týká hlavně;vývoje morálního usuzování;poruch řeči;typů školních testů;vývoje zrakového vnímání;A;Kohlberg popsal stadia morálního úsudku od předkonvenční po postkonvenční úroveň.
Eriksonova teorie popisuje;didaktické prostředky;psychosociální vývojová stadia a krize;pouze inteligenci měřenou IQ;výhradně klasické podmiňování;B;Erikson zdůraznil celoživotní psychosociální úkoly, například identitu v adolescenci.
Adolescence je ve škole spojena zejména s;hledáním identity, autonomií a proměnou vztahů s vrstevníky i autoritami;výhradně hrou paralelní;ukončením všech vývojových změn;nástupem řeči u batolete;A;Adolescent řeší identitu, samostatnost, sociální vztahy a hodnotovou orientaci.
Mladší školní věk je podle Piageta typicky spojen se stadiem;konkrétních logických operací;senzomotorickým stadiem;postkonvenční morálky;formálních operací u všech dětí od narození;A;Ve stadiu konkrétních operací dítě lépe pracuje s logikou vázanou na konkrétní situace.
