OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Které z následujících tvrzení nevyplývalo z experimentu Philipa Zimbarda;v některých sociálních situacích může dojít k deindividualizaci (odosobnění) jedince;jedinec zpochybňuje svůj úsudek při srovnání s názory ostatních;osobnostní nastavení testovaných osob může být druhotné;každý člověk se v určité situaci může chovat asociálně;B;
Mezi základní principy vnímání dle Gestaltu nepatří princip;podobnosti;antipatie;symetrie;figury a pozadí;B;
Mezi základní typy davu nepatří dav;expresivní;terorizující;závistivý;lynčující;C;
Hypotézu, podle níž je rozhodování skupiny riskantnější než rozhodování jednotlivců, nazýváme;efekt primarity;teorie reaktance;skupinová facilitace;difuze odpovědnosti;D;
Kterým termínem lze v případě emocí označit jejich vztaženost k určitému subjektu či objektu?;reverzibilita;polarita;subjektivita;intencionalita;D;
Pro lidské motivy neplatí;jsou dispozicemi k procesu motivace;každé chování má téměř vždy jen jeden motiv;stejné motivy se mohou projevovat různým chováním;za stejným chováním mohou být různé motivy;B;
Nejednoznačnost a proměnlivost některých emocí a citových prožitků můžeme označit termínem;autoregulace;aktivace;ambivalence;intencionalita;C;
Co uchovává implicitní dlouhodobá paměť;poznatky a souvislosti mezi nimi;dovednosti a emoční obsahy;vědomosti;osobní zážitky jedince;B;
Efekt přihlížejícího popisuje chování lidí ve specifické situaci:;dynamiku out-group skupin;čím více přihlížejících lidí, tím menší pravděpodobnost a ochota pomoci např. zraněným při nehodě;léčivé účinky expresivního davu;dynamiku sociálního učení při výzkumu naučené agrese;B;
Jak charakterizuje J. Piaget myšlení žáka v mladším školním věku? Jedná se o:;myšlení miskoncepční a fantazijní;stádium formálních logických operací;stádium konkrétních logických operací;myšlení závislé na autoritě dospělého;C;
Mezi aplikované psychologické vědy nepatří;vývojová psychologie;interkulturní psychologie;pedagogická psychologie;klinická psychologie;A;
Která z následujících charakteristik osobnosti je nejvíce ovlivněna společností;rys;charakter;temperament;emocionalita;B;
Mezi základní faktory inteligence nepatří;eidetická představivost;paměť;chápání sociálních vztahů a orientace v nich;matematická inteligence;A;
Fenomén konformity v sociálních skupinách nemůže být charakterizován;snahou nevyčnívat;relativním zpochybňováním svého úsudku;snahou přizpůsobovat se většinovému názoru skupiny;snahou prosadit svůj názor;D;
Kterého vývojového období se týká Freudovo orální stádium;adolescent;kojenec;batole;předškolák;B;
Mezi známá jména českých psychologů, kteří publikovali učebnice z vývojové psychologie, nepatří:;J. Langmeier;D. Krejčířová;V. Smékal;M. Vágnerová;C;
Komunikační strategie podomních prodejců často využívá;dominantní sociální pozici;komunikační bariéru;haptiku;nepromyšlenou konformitu;D;
S činností které části našeho mozku úzce souvisejí emoce (především jejich fyziologické projevy);mozkový kmen;mezihemisférová oblast;limbický systém;neokortex;C;
Za komunikační bariéru v sociální psychologii nepovažujeme;jazykovou kompetenci;postoje účastníků komunikace;lateralitu;vzdálenost mluvčích;C;
Který z následujících projevů nepatří k základním charakteristikám burn-out syndromu;vývojová regrese trvalého charakteru;objektivní snížení (pracovní) výkonnosti;snížené sebehodnocení jedince;sklíčenost, negativismus;A;
Jak bývá nazývána hra, při které si děti v předškolním věku hrají „na něco“?;spontánní;tematická, námětová;schematická, strukturovaná;symbolická, fantazijní;B;
Orientace na univerzální etické principy (spravedlnost, důstojnost, rovnost) je podle L. Kohlberga znakem:;konvenční morálky;předkonvenční morálky;postkonvenční morálky;předmorálního stádia;C;
S měřením inteligence bývá často spojováno jméno autora známých testů;Maslow;Freud;Wechsler;Piaget;C;
Které tvrzení se bezprostředně netýká procesu socializace;jde o neustálé osvojování si nových společenských rolí;je to děj permanentní;je uskutečňována především řízeným sociálním učením a institucionální edukací;je procesem humanizace jedince;C;
Naše vnímání se snaží o co nejjednodušší uspořádání různých prvků do jasného celku. Jak bývá tento základní fakt nazýván;Zákon pregnantnosti;Zákon blízkosti;Princip figury a pozadí;princip konstantnosti;A;
Jestliže nás nějaká nápadná vlastnost druhého ovlivní natolik, že v jejím světle posuzujeme i jeho ostatní vlastnosti, jedná se o;halo efekt;efekt posledního dojmu;efekt facilitace;efekt selektivity;A;
Přibližně mezi šesti měsíci a rokem věku dítěte u něj při odloučení od primární pečující osoby vzniká:;separační úzkost;antropomorfní úzkost;separační fóbie;trvalá anxieta;A;
Vnější (externí) místo kontroly (locus of control) dle Rottera znamená, že;si utváříme dojmy o jiných na základě prvního dojmu;dáváme přednost trvalým příčinám chování lidí;důsledky svých činů připisujeme ostatním, okolí či náhodě;naše činy zcela závisí na našem jednání;C;
Pro schopnost metakognice, jakožto jeden z faktorů inteligence, neplatí;týká se schopnosti zhodnotit vlastní znalosti či dovednosti;lze ji označit jako „přemýšlení o myšlení“;souvisí se sebereflexí;je zcela závislá na vrozených dispozicích;D;
Jak by se dala nejlépe zvládnout vzdorovitá reakce batolete?;odpoutáním pozornosti jinou zajímavou činností či podnětem;asertivním vyjádřením svého nesouhlasu z pozice „já“ („mně to vadí“);ostrou kritikou odsuzující jeho zlobivou osobu;ostrou kritikou odsuzující jeho chování a nabídkou alternativy jiné činnosti;A;
Sociální identita často vzniká;přidělením alfa sociální role skupinou;jako reakce na frustrující životní situace;jako projev temperamentových vlastností osobnosti;v průběhu sociálního srovnávání např. pomocí strategie maximalizování rozdílů mezi tzv. in-group a out-group skupin;D;
Pojem skupinová atmosféra vyjadřuje;styl řízení, který navozuje uvolněnost a příjemné prožívání skupinové činnosti a vztahů;stabilní emocionální naladěnost, ve které se propojují nálady členů, jejich duševní prožívání a vzájemné vztahy;takové řízení, které chápou členové skupiny jako povzbuzující;spíše aktuální, momentální situační naladění v nějaké skupině;D;
Emoční prožitek, který je charakteristický velmi vysokou intenzitou a poměrně krátkým trváním, nazýváme;emoční epizoda;nálada;afekt;vztek;C;
Schopnost rozdělovat pozornost na více zdrojů informací či několik aktivit současně se nazývá;selektivita pozornosti;distribuce pozornosti;vigilita pozornosti;koncentrace pozornosti;B;
Standardizovaný didaktický test je:;běžný didaktický test vytvořený učitelem bez odborných nároků na tvorbu testu;didaktický test vytvořený MŠMT určený pro srovnávání vzdělávacích výsledků v jednotlivých regionech;profesionálně vytvořený didaktický test, jehož vlastnosti jsou známy z ověřování testu na souboru žáků;test, který obsahuje výhradně uzavřené otázky s možnostmi výběru ze tří až čtyř variant;C;
Zkratka kurikulárního dokumentu, který je závazný pro MŠ, ZŠ a SŠ v ČR je:;OPVK;MŠMT;RVP;VUP;C;
Dichotomickou testovou otázkou rozumíme:;uzavřenou testovou otázku se dvěma variantami odpovědi (např. ano/ne);otevřenou testovou otázku s možností stručné odpovědi (např. doplnění pojmu);otevřenou testovou otázku s možností široké odpovědi (esej);uzavřenou testovou otázku s více správnými variantami odpovědi;A;
Organizační forma vyučování, při které se v úvodu zvolí skutečný a komplexní problém, poté se zformulují a rozdělí úkoly, následuje diskuse, řešení problému a v závěru zveřejnění výsledků a promyšlená zpětná vazba, se nazývá:;sociální učení;tematická výuka;diferencované vyučování;projektové vyučování;D;
Pojem edukace nejpřesněji vystihuje definice:;soustavná, systematická a vnitřně koherentní příprava na vyučování;výchovně-vzdělávací proces;hodnocení naplnění výchovně-vzdělávacích cílů;srovnávací metoda hodnocení odlišných vzdělávacích systémů;B;
Průběh učiva a jeho obsah vyjadřuje pojem:;Klíčová kompetence;Kurikulum;Edukace;Pedagogická evaluace;B;
Mezi alternativní školské koncepty nepatří;Steinerova škola;Freinetova škola;Waldorfská škola;Jenská škola;A;
Současný výukový dialog na druhém stupni základní školy má podobu;dialogickou;monologickou;diskusní;debatní;A;
Socioekonomický status má tyto složky;pohlaví, národnost, rasa, příjem, politická orientace;pohlaví a příjem;kulturní úroveň a příjem;kulturní kapitál, sociální kapitál a ekonomická kapitál;D;
Otázky nižší kognitivní náročnosti jsou takové otázky, které;jsou zaměřeny na doslovné vybavení si faktu;jsou zaměřeny na správnou aplikaci faktu;jsou vždy uzavřené;jsou vždy otevřené;A;
Průměrná pauza mezi replikou žáka a zpětnou vazbu učitele činí v průměru;méně než sekundu;přibližně dvě sekundy;přibližně tři sekundy;přibližně čtyři sekundy;A;
Profesní identita učitele;se dělí na fázi začínajícího učitele, zkušeného učitele a učitele experta;je dána autoritou učitele ve třídě;vzniká přijetím na učitelský obor;doposud neexistuje, protože není vymezena kariérním řádem;A;
Bloomova taxonomie kognitivních operací má následující stupně v tomto pořadí;zapamatování, porozumění, aplikování, analyzování, hodnocení, tvoření;zapamatování, vybavování, aplikování, analyzování, hodnocení, tvoření;zapamatování, porozumění, analyzování, aplikování, hodnocení, tvoření;zapamatování, porozumění, aplikování, analyzování, tvoření, hodnocení;A;
Kurikulum vymezuje;učební plán, osnovy a zkušenost jedince v instituci;vše, co se odehrává ve škole;obsah vzdělávacího programu;povinné standardy formálního školního vzdělávání;A;
Termín zóna nejbližšího vývoje je definován jako;vzdálenost mezi aktuálním stupněm rozvoje a potenciálním stupněm rozvoje;proces, který umožní dítěti nebo začátečníkovi řešit problém, který přesahuje hranice neasistovaného úsilí;oblast, která bude v dané hodině skrze osnovy rozvíjena;oblast, která by měla být v dané hodině skrze osnovy rozvíjena podle RVP;A;
Zřizovatelem střední školy je;kraj (+ další subjekty např. církev…);Ministerstvo školství, mládeže a tělovýchovy;obec;stát;A;
Kulturní kapitál;představuje verbální obratnost, obecné kulturní povědomí, či dosažené vzdělání;představuje výdaje na žáka v dané zemi;představuje souhrn zdrojů, které může určitá osoba využít, protože se zná s jinými lidmi;představuje úroveň kulturnosti žáků dané školy;A;
Školní vzdělávací program dané školy schvaluje;ředitel školy;ministr školství;Česká školní inspekce;kraj;A;
Vnitřní diferenciace znamená, že;žáci jsou součástí heterogenní skupiny, odděleně jsou vzděláváni pouze určitou část školního dne;žáci jsou součástí homogenní skupiny, jsou vzděláváni odděleně po celý den;základní škola je rozdělena na první a druhý stupeň;se žáci dělí do tříd podle genderu;A;
