OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Autorem pojmu Zóna nejbližšího vývoje je;Erik Erikson;Jean Piaget;Sigmund Freud;Lev Semjonovič Vygotskij;D;
Pojmem školní způsobilost se označuje;nabytí klíčových kompetencí stanovených v rámcových vzdělávacích programech;intelektová způsobilost absolvovat školní docházku v běžné škole;dovršení šestého roku věku;psychická zralost a připravenost dítěte k zahájení povinné školní docházky;D;
Hierarchie – pyramida potřeb humanistického autora Abrahama Maslowa neobsahuje;potřebu sebeaktualizace;potřeby uznání;potřeby hodnotové;potřeby bezpečí;C;
Průřezová témata dle rámcového vzdělávacího programu jsou;osobnostní a sociální výchova, výchova k myšlení v evropských a globálních souvislostech, multikulturní výchova, environmentální a mediální výchova;osobnostní výchova, profesní orientace, ekologická výchova;komunikace, volba povolání, mediální výchova, multikulturní výchova;sociální komunikace, osobnostní výchova, multikulturní výchova, mediální výchova;A;
Mezi monologické vyučovací metody patří;rozhovor, diskuse, brainstorming;demonstrační metody a vyprávění;vysvětlování, vyprávění, instruktáž;heuristické, inscenační a situační metody;C;
Andragogika je;historická pedagogická věda využívající principy antropologie;teorie vzdělávání dospělých;pedagogická disciplína zabývající se cíli a metodami výuky;nauka o učitelích;B;
Otázky nižší kognitivní náročnosti jsou takové otázky, které;jsou zaměřeny na doslovné vybavení si faktu;jsou zaměřeny na správnou aplikaci faktu;jsou vždy uzavřené;jsou vždy otevřené;A;
Autoevaluace je;sebehodnocení vedoucí k sebevýchově;zpětná vazba žáka k výkonu učitele (typické pro reformní pedagogiku);soustavný proces hodnocení, ve kterém škola shromažďuje údaje o všech hlavních aspektech fungování školy, aby provedla zhodnocení své činnosti;standardizovaný školský nástroj pro analýzu dat školy;C;
Mezi alternativní školské koncepty nepatří;Steinerova škola;Freinetova škola;Waldorfská škola;Jenská škola;A;
Kurikulum vymezuje;učební plán, osnovy a zkušenost jedince v instituci;vše, co se odehrává ve škole;obsah vzdělávacího programu;povinné standardy formálního školního vzdělávání;A;
Vnitřní diferenciace znamená, že;žáci jsou součástí heterogenní skupiny, odděleně jsou vzděláváni pouze určitou část školního dne;žáci jsou součástí homogenní skupiny, jsou vzděláváni odděleně po celý den;základní škola je rozdělena na první a druhý stupeň;se žáci dělí do tříd podle genderu;A;
Školní vzdělávací program dané školy schvaluje;ředitel školy;ministr školství;Česká školní inspekce;kraj;A;
Bloomova taxonomie kognitivních operací má následující stupně v tomto pořadí;zapamatování, porozumění, aplikování, analyzování, hodnocení, tvoření;zapamatování, vybavování, aplikování, analyzování, hodnocení, tvoření;zapamatování, porozumění, analyzování, aplikování, hodnocení, tvoření;zapamatování, porozumění, aplikování, analyzování, tvoření, hodnocení;A;
Bílá kniha je;dokument MŠMT určující stav českého školství podle OECD po roce 1989;dokument MŠMT dokumentující rozvoj vzdělanosti po roce 1989 v ČR;dokument MŠMT obsahující návrhy restrukturalizace českých škol po roce 1989;dokument MŠMT naznačující strategické linie českého vzdělávání;D;
Individualizované vyučování;spočívá v tom, že se učitel věnuje výhradně jednomu žákovi (například domácí učitel);znamená, že se žáci ve výuce setkávají výhradně s jedním učitelem (například první stupeň ZŠ);je výuka zaměřená na posílení individuality žáků;"znamená, že žáci zpracovávají dané úlohy samostatně (učitelé jsou spíše v roli facilitátorů; typické např. pro „Daltonský plán“)";D;
Školní klima je;sociálně psychologická proměnná, která vyjadřuje kvalitu interpersonálních vztahů;sociálně psychologická proměnná, zahrnující fyzikálních parametry ovlivňující průběh výuky;kultura školy;sociálně psychologická proměnná, která vyjadřuje kvalitu interpersonálních vztahů mezi žáky;A;
Pro výuku vedenou v duchu konstruktivistické teorie je typické;práce s žákovými prekoncepty, aktivita žáka, učitel je průvodcem žáka;sledování reakcí žáka na zadaný podnět, učitel oceňuje a posiluje správné chování;vytváření hodnotově orientovaných postojů žáka, učitel je rádcem;rozvoj personálních forem inteligence žáka, učitel je modelem chování;A;
Excerpování je;vyhledávání zdrojů v knihovně;pořizování si výpisků z celé knihy;vyhledávání talentů;vyhledávání rizikových žáků ve třídě;B;
Psychodidaktika je;interdisciplinární teorie, která integruje a uvádí ve vztah výsledky z obecné didaktiky, kognitivní psychologie, psychologie učení, aj.;speciální metoda vycházející z behaviorismu umožňující rychlé a efektivní zapamatování učiva;patopsychologická disciplína zabývající se diagnostikou a poruchami učení;didaktika aplikovaná u žáků s psychickými poruchami;A;
Reliabilita didaktického testu je;vlastnost didaktického testu, která charakterizuje způsob kladení otázek;vlastnost didaktického testu, která charakterizuje jeho spolehlivost a objektivitu;vlastnost didaktického testu, která charakterizuje způsob hodnocení výsledků testu;vlastnost didaktického testu, která charakterizuje platnost norem;B;
Pojmem „prelingválně neslyšící osoba“ se označuje;osoba, která ztratila sluch 7. roce života;osoba, která se narodila v důsledku nedonošenosti jako neslyšící a v průběhu vývoje se její sluch vyvinul;neslyšící osoba, u které není možný vývoj řeči;osoba, která neslyší od narození, nebo ztratila sluch před dokončením vývoje řeči;D;
Pojmem „děti se syndromem CAN“ se označují;děti s poruchou pohybového ústrojí;děti úzkostné a šikanované;děti týrané a zneužívané;děti s poruchou autistického spektra;C;
Mezi poruchy autistického spektra patří;Aspergerův syndrom;Stockholmský syndrom;Turnerův syndrom;Tourettův syndrom;A;
O mentálním postižení (retardaci) mluvíme, má-li jedinec IQ;80 a méně;75 a méně;69 a méně;65 a méně;C;
Specificky narušený vývoj řeči, který se projevuje neschopností nebo sníženou schopností verbálně komunikovat, i když podmínky pro jeho rozvoj jsou dobré, nazýváme;vývojová dysfázie;dysartrie;dyslexie;afázie;A;
Pro jaké žáky se zřizuje předmět prostorová orientace a samostatný pohyb?;pro žáky s mentálním postižením;pro žáky se zrakovým postižením;pro žáky s tělesným postižením;pro žáky s autismem;B;
Mezi specifické poruchy učení nepatří;dyspraxie (=obratnost);dyslalie;dysmuzie (=hudba);dyskalkulie (=počty);B;
Správný postup při podezření na šikanu ve třídě je;ochránit oběť, informovat vedení školy, pozorovat a sbírat důkazy, zajistit svědky…;oznámit policii, izolovat podezřelého agresora, hledat svědky…;vyslechnout agresora, oznámit rodičům, ochránit oběť, zajistit svědky…;informovat vedení školy, vyslechnout třídu, oznámit policii, vyslechnout agresora…;A;
Incentivou se v psychologii rozumí:;vytvoření nového pojmu při učení;vnější pobídka v motivačním procesu;vnitřní pobídka v motivačním procesu;zavedení nového podnětu do procesu podmiňování;B;
Mentoring je;nová forma vzdělávání učitelů spočívající v supervizi;forma kolegiální podpory při profesním růstu (nejen) učitelů;podpora výhradně začínajícím učitelům;forma supervize pro začínající vedení školy;B;
Za rizikové jsou považovány tresty;odčinění následků, omezení potřeb, fyzické tresty;odepření výhod, psychické trestání, omezení potřeb;náhrada škody, ukládání práce, psychické tresty;zákaz zájmové činnosti, ukládání práce, trest učením, psychické a fyzické tresty;D;
Pro uplatňování principů humanistické psychologie je typické;hledání a podpora potenciálu člověka;práce s nevědomou motivací;dekonstrukce samozřejmých předpokladů;pozorování a popis reakce člověka na podnět;A;
Který pojem nebývá spojován s dítětem (mladšího) školního věku?;multisenzorická identifikace;poruchy školních dovedností;stádium logických operací;konformní morálka;A;
Lidé, kteří věří, že podmínky důležité pro dosahování úspěchu jsou určovány především jimi samými, se podle teorie locus of control nazývají;vnitřními externalisty;intrapersonalisty;internalisty;intrapunitivisty;C;
Péče o žáky se speciálními vzdělávacími potřebami je podle školské legislativy zabezpečována pomocí tzv.;speciálně pedagogických opatření;revizních opatření;podpůrných opatření;inkluzivních opatření;C;
Standardizovaný didaktický test je:;běžný didaktický test vytvořený učitelem bez odborných nároků na tvorbu testu;didaktický test vytvořený MŠMT určený pro srovnávání vzdělávacích výsledků v jednotlivých regionech;profesionálně vytvořený didaktický test, jehož vlastnosti jsou známy z ověřování testu na souboru žáků;test, který obsahuje výhradně uzavřené otázky s možnostmi výběru ze tří až čtyř variant;C;
Zkratka kurikulárního dokumentu, který je závazný pro MŠ, ZŠ a SŠ v ČR je:;OPVK;MŠMT;RVP;VUP;C;
Dichotomickou testovou otázkou rozumíme:;uzavřenou testovou otázku se dvěma variantami odpovědi (např. ano/ne);otevřenou testovou otázku s možností stručné odpovědi (např. doplnění pojmu);otevřenou testovou otázku s možností široké odpovědi (esej);uzavřenou testovou otázku s více správnými variantami odpovědi;A;
Organizační forma vyučování, při které se v úvodu zvolí skutečný a komplexní problém, poté se zformulují a rozdělí úkoly, následuje diskuse, řešení problému a v závěru zveřejnění výsledků a promyšlená zpětná vazba, se nazývá:;sociální učení;tematická výuka;diferencované vyučování;projektové vyučování;D;
Pojem edukace nejpřesněji vystihuje definice:;soustavná, systematická a vnitřně koherentní příprava na vyučování;výchovně-vzdělávací proces;hodnocení naplnění výchovně-vzdělávacích cílů;srovnávací metoda hodnocení odlišných vzdělávacích systémů;B;
Průběh učiva a jeho obsah vyjadřuje pojem:;Klíčová kompetence;Kurikulum;Edukace;Pedagogická evaluace;B;
Specifičnost pedagogiky oproti ostatním sociálním vědám tkví v tom, že pedagogika;zkoumá, plánuje a popisuje nejlepší výchovu;má svoje vlastní ministerstvo (MŠMT);se opírá jak o kvalitativní, tak o kvantitativní výzkum;zkoumá školu, žáky a učitele;A;
Termín zóna nejbližšího vývoje je definován jako;vzdálenost mezi aktuálním stupněm rozvoje a potenciálním stupněm rozvoje;proces, který umožní dítěti nebo začátečníkovi řešit problém, který přesahuje hranice neasistovaného úsilí;oblast, která bude v dané hodině skrze osnovy rozvíjena;oblast, která by měla být v dané hodině skrze osnovy rozvíjena podle RVP;A;
Zřizovatelem střední školy je;kraj (+ další subjekty např. církev…);Ministerstvo školství, mládeže a tělovýchovy;obec;stát;A;
Mezi alternativní školské koncepty nepatří;Stainerova škola;Freinetova škola;Waldorfská škola;Jenská škola;A;
Současný výukový dialog na druhém stupni základní školy má podobu;dialogickou;monologickou;diskusní;debatní;A;
Socioekonomický status má tyto složky;pohlaví, národnost, rasa, příjem, politická orientace;pohlaví a příjem;kulturní úroveň a příjem;kulturní kapitál, sociální kapitál a ekonomická kapitál;D;
Průměrná pauza mezi replikou žáka a zpětnou vazbu učitele činí v průměru;méně než sekundu;přibližně dvě sekundy;přibližně tři sekundy;přibližně čtyři sekundy;A;
Profesní identita učitele;se dělí na fázi začínajícího učitele, zkušeného učitele a učitele experta;je dána autoritou učitele ve třídě;vzniká přijetím na učitelský obor;doposud neexistuje, protože není vymezena kariérním řádem;A;
Kulturní kapitál;představuje verbální obratnost, obecné kulturní povědomí, či dosažené vzdělání;představuje výdaje na žáka v dané zemi;představuje souhrn zdrojů, které může určitá osoba využít, protože se zná s jinými lidmi;představuje úroveň kulturnosti žáků dané školy;A;
Vnitřní diferenciace znamená, že;jsou žáci součástí heterogenní skupiny a odděleně jsou vzdělávání pouze určitou (malou) část školního dne;jsou žáci součástí homogenní skupiny žáků, kteří jsou vzděláváni odděleně po celý den a ve všech vyučovacích předmětech;je základní škola rozdělena na dva stupně;žáci mohou odcházet ze základní školy na víceletá gymnázia;A;
Průřezová témata dle rámcového vzdělávacího programu jsou;osobnostní a sociální výchova, multikulturní výchova, environmentální a mediální výchova;Člověk a příroda, Člověk a společnost, Člověk a svět práce;kompetence k učení a kompetence k řešení problémů;občanská výchova a etická výchova;A;
Individuální vzdělávací plán pro žáky se speciálními vzdělávacími potřebami;zpracovává školní poradenské zařízení;zpracovává školní poradenské zařízení pouze v případě, kdy ve škole nepracuje školní psycholog;zpracovává škola se souhlasem zletilého žáka nebo zákonného zástupce žáka;zpracovává škola na základě doporučení školského poradenského zařízení a žádosti zletilého žáka nebo zákonného zástupce žáka;D;
Individuální vzdělávací plán;může být doplňován a upravován v průběhu celého školního roku podle potřeb žáka;může být doplňován a upravován po uplynutí 6 měsíců;nesmí být doplňován a opravován bez vědomí PPP nebo SPC;může být doplňován a upravován po uplynutí jednoho roku po konzultaci s PPP nebo SPC;A;
Před zahájením poskytování podpůrných opatření prvního stupně zpracuje škola;plán pedagogické podpory žáka;individuální vzdělávací program;plán podpůrných opatření;plán pedagogických podpůrných intervencí;A;
Školské poradenské zařízení v doporučení stanoví dobu, po kterou je poskytování podpůrného opatření nezbytné; tato doba zpravidla nepřesáhne;3 měsíce;půl roku;1 rok;2 roky;D;
Třída, oddělení a studijní skupina zřízená podle § 16 odst. 9 Školského zákona (třídy pro žáky se speciálními vzdělávacími potřebami);má nejméně 5 a nejvíce 15 žáků;má nejméně 6 a nejvíce 14 žáků;má nejméně 8 a nejvíce 18 žáků;má nejméně 10 a nejvíce 14 žáků;B;
Pro nadané žáky;může ředitel školy vytvářet skupiny, ve kterých se vzdělávají žáci stejných nebo různých ročníků školy v některých předmětech;může ředitel školy vytvářet skupiny, ve kterých se vzdělávají žáci stejných nebo různých ročníků školy ve všech předmětech;může ředitel školy vytvářet skupiny, ve kterých se vzdělávají žáci stejných ročníků;nesmí ředitel školy vytvářet skupiny nadaných;A;
Do školského poradenského zařízení;je rodič s žákem povinen dostavit se na žádost školy;je rodič s žákem povinen dostavit se na žádost ŠPP;se rodič s žákem dostavuje pouze na základě vlastní žádosti;se rodič s žákem dostavuje na základě vlastní žádosti, není-li tak nařízeno OSPODem;D;
Pedagogicko-psychologickou připravenost žáků na povinnou školní docházku zjišťuje, zprávu a doporučení vydává;PPP nebo SPC;ŠPP nebo PPP;pouze dětský lékař;PPP, SPC i dětský lékař – je třeba vyjádření všech;A;
Služby PPP jsou určeny;dětem od 3let, žákům a studentům až do ukončení SŠ, rodičům, pedagogům a školám;žákům a studentům až do ukončení SŠ a školám;dětem od 3let, žákům a studentům základních škol, rodičům, pedagogům a školám;žákům a studentům až do ukončení SŠ, rodičům a školám;A;
Výchovní poradci v českých školách fungují zhruba;od 40. let minulého století;od 60. let minulého století;od 80. let minulého století;od roku 2005;B;
Výchovný poradce je;učitel, který absolvuje dvouletý akreditovaný kurz pro výchovné poradce, má úlevu z přímé pedagogické práce ve třídě;učitel, který má vystudovaný obor speciální pedagogika, má úlevu z přímé pedagogické práce ve třídě;kterýkoliv učitel s více jak 5letou praxí ve škole, nemá úlevu z přímé pedagogické práce ve třídě;kterýkoliv učitel kterýkoliv učitel s více jak 5letou praxí ve škole, který má úlevu z přímé pedagogické práce ve třídě;A;
Současná koncepce školního poradenství je platná od roku;1994;2005;2011;2016;B;
Mezi oblasti práce školního psychologa nepatří;Diagnostika a depistáž;Psychoterapie;Konzultační, poradenské a intervenční práce;Metodická práce a vzdělávací činnost;B;
Průřezová témata dle rámcového vzdělávacího programu jsou;osobnostní a sociální výchova, multikulturní výchova, environmentální a mediální výchova;osobnostní výchova, profesní orientace, ekologická výchova;komunikace, volba povolání, mediální výchova, multikulturní výchova;sociální komunikace, osobnostní výchova, multikulturní výchova, mediální výchova;A;
Mezi specifické poruchy učení nepatří;dyspraxie;dyslalie;dysmuzie;dyskalkulie;B;
Zřizovatelem střední školy je;kraj;Ministerstvo školství, mládeže a tělovýchovy;obec;stát;A;
