OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Zřizovatelem veřejné střední školy je typicky;obec vždy bez výjimky;Ministerstvo školství u všech středních škol;stát přímo prostřednictvím každé školy;kraj;D;Střední školy jsou v ČR typicky zřizovány kraji, vedle toho mohou existovat i jiné typy zřizovatelů.
Kulturní kapitál označuje především;úroveň kulturnosti budovy školy;souhrn kontaktů, které člověk může využít;výdaje na žáka v dané zemi;verbální obratnost, kulturní povědomí, vzdělání a kulturně oceňované dispozice;D;Kulturní kapitál je u Bourdieuho spojen s jazykem, vzděláním, vkusem a kulturními kompetencemi.
Školní vzdělávací program dané školy schvaluje;kraj;ministr školství;ředitel školy;Česká školní inspekce;C;"ŠVP vydává a schvaluje ředitel školy; musí být v souladu s příslušným RVP."
Vnitřní diferenciace znamená, že;základní škola je rozdělena na první a druhý stupeň;žáci odcházejí na víceletá gymnázia;žáci jsou celý den ve všech předmětech odděleni podle výkonu;žáci jsou v heterogenní skupině a odlišně pracují jen v určité části výuky;D;Vnitřní diferenciace probíhá uvnitř třídy nebo skupiny, ne trvalým oddělením žáků do homogenních tříd.
Průřezová témata v RVP zahrnují především;osobnostní a sociální výchovu, výchovu k evropským a globálním souvislostem, multikulturní, environmentální a mediální výchovu;Člověk a příroda, Člověk a společnost, Člověk a svět práce;občanskou výchovu a etickou výchovu;kompetence k učení a kompetence k řešení problémů;A;"Průřezová témata prostupují vzdělávacími oblastmi; nejde o vzdělávací oblasti ani klíčové kompetence."
Standardizovaný didaktický test je;test obsahující výhradně uzavřené otázky;běžný test vytvořený učitelem bez odborného ověření;profesionálně vytvořený test, jehož vlastnosti jsou známy z ověřování na souboru žáků;test vytvořený MŠMT vždy pro regionální srovnání;C;Standardizace znamená ověření vlastností testu, norem, reliability a dalších parametrů.
Zkratka kurikulárního dokumentu závazného pro MŠ, ZŠ a SŠ v ČR je;MŠMT;VUP;RVP;OPVK;C;Rámcové vzdělávací programy stanovují závazný rámec, podle něhož školy tvoří ŠVP.
Dichotomickou testovou otázkou rozumíme;otevřenou položku se stručnou odpovědí;uzavřenou položku s více správnými odpověďmi;uzavřenou položku se dvěma variantami odpovědi, například ano/ne;otevřenou esejovou položku;C;Dichotomická položka nabízí dvě alternativy odpovědi.
Organizační forma, v níž se řeší komplexní problém, rozdělují se úkoly a zveřejňuje výsledek, se nazývá;projektové vyučování;diferencované vyučování;tematická výuka;sociální učení;A;Projektové vyučování je založené na řešení komplexního úkolu s produktem a reflexí.
Příklad vnější motivace ve vyučování je;zvědavost žáka o téma;vnitřní radost z poznání;známka nebo pochvala;pocit smysluplnosti učiva;C;Vnější motivace vychází z pobídky mimo samotnou činnost, například známka, odměna nebo pochvala.
Mezi reformní/alternativní školy patří;Montessori, Waldorfská, Daltonská a Jenská škola;pouze školy zřizované krajem;jen školy s přijímací zkouškou;jen gymnázia a lycea;A;Mezi klasické reformní směry patří Montessori, Waldorf, Daltonský plán, Jenská škola nebo Freinetova škola.
Pojem edukace nejpřesněji označuje;soustavnou přípravu učitele na vyučování;srovnávací metodu vzdělávacích systémů;hodnocení naplnění cílů;výchovně-vzdělávací proces;D;Edukace je širší pojem pro proces výchovy a vzdělávání.
Mezi didaktické zásady patří;pouze známkování, klasifikace a sankce;pouze digitalizace a projektové řízení;výhradně frontálnost a kázeň;názornost, přiměřenost, systematičnost a spojení teorie s praxí;D;Didaktické zásady jsou obecná pravidla efektivního vyučování.
Průběh učiva a jeho obsah vyjadřuje pojem;edukace;pedagogická evaluace;klíčová kompetence;kurikulum;D;Kurikulum zahrnuje obsah, plán a průběh vzdělávání.
Mezi didaktické prostředky patří;pouze školní řád;učebnice, modely, atlasy, tabule a digitální technika;jen výukové cíle;výhradně legislativní dokumenty;B;Didaktické prostředky zahrnují pomůcky i techniku podporující výuku.
Psychodidaktika je;metoda rychlého zapamatování;didaktika pouze pro žáky s psychickými poruchami;oborová didaktika psychologie;interdisciplinární teorie propojující obecnou didaktiku a psychologii učení;D;Psychodidaktika využívá poznatky psychologie k porozumění učení a výuce.
Reliabilita didaktického testu označuje;platnost norem bez vztahu ke spolehlivosti;způsob hodnocení výsledků;spolehlivost a přesnost měření testu;způsob kladení otázek;C;Reliabilní test poskytuje stabilní a konzistentní výsledky.
Autoevaluace školy je;zpětná vazba žáka k výkonu učitele;standardizovaný nástroj MŠMT pro všechny školy;sebehodnocení jedince vedoucí k sebevýchově;soustavné vnitřní hodnocení hlavních aspektů fungování školy;D;Autoevaluace je vnitřní hodnocení školy zaměřené na zlepšování kvality.
Bílá kniha je v českém vzdělávání;pouze zpráva OECD o českém školství;strategický dokument naznačující linie rozvoje vzdělávání;dokument určující nepovinné učivo v RVP;seznam učebnic schválených MŠMT;B;Bílá kniha byla strategickým dokumentem vzdělávací politiky.
Mezi monologické slovní metody patří;rozhovor, diskuse, brainstorming;vysvětlování, vyprávění, přednáška, instruktáž;heuristické a situační metody;skupinová práce a projekt;B;Monologické metody jsou založeny na souvislém projevu učitele nebo přednášejícího.
Individualizované vyučování v klasickém smyslu znamená, že;žáci mají pouze jednoho učitele;učitel se vždy věnuje výhradně jednomu žákovi;žáci jsou rozděleni podle pohlaví;žáci zpracovávají úlohy samostatně podle individuálního tempa a učitel je facilitátorem;D;"Individualizované vyučování přizpůsobuje tempo a postup žákům; typickým příkladem bývá Daltonský plán."
Konstruktivistická výuka se vyznačuje tím, že;pracuje s prekoncepty žáků a aktivitou žáka;odmítá žákovu zkušenost jako rušivou;je založena pouze na výkladu hotových poznatků;sleduje jen reakci na podnět a posílení chování;A;Konstruktivismus chápe poznání jako aktivně konstruované žákem.
Pedagogika jako věda má normativní rovinu tehdy, když;stanovuje cíle, normy a doporučení výchovy;jen popisuje počet žáků ve třídách;zkoumá výhradně mozkové procesy;nahrazuje školskou legislativu;A;Normativní rovina říká, jaká výchova má být a k jakým cílům má směřovat.
Explanační rovina pedagogiky znamená, že pedagogika;pouze předepisuje osnovy;hodnotí učitele známkou;vysvětluje jevy edukační reality;jen administruje školy;C;Explanační přístup usiluje o porozumění příčinám a souvislostem pedagogických jevů.
Pragmatická pedagogika Johna Deweyho zdůrazňuje;pouhé memorování textů;výchovu izolovanou od společnosti;učení činností a zkušeností;výhradní kázeň a trest;C;Dewey kladl důraz na zkušenost, činnost, řešení problémů a demokratičnost školy.
Pozitivistická pedagogika se vyznačuje především;odmítáním výzkumu;výhradním náboženským výkladem výchovy;pouhou introspekcí učitele;důrazem na empirické poznání a vědecké metody;D;Pozitivismus zdůrazňuje pozorování, měření a ověřitelné poznatky.
Učitelský profesiogram popisuje;seznam žáků ve třídě;požadavky, činnosti, kompetence a odpovědnosti učitelské profese;pouze platové zařazení učitele;jen rozvrh hodin;B;Profesiogram vymezuje strukturu profesních nároků a činností učitele.
Mentoring ve škole je;forma kolegiální podpory profesního růstu;výhradně sankce pro začínající učitele;pouze kontrola Českou školní inspekcí;náhrada pedagogického vzdělání;A;"Mentor podporuje učení a reflexi kolegy; nejde primárně o kontrolu."
Syndrom vyhoření u učitelů souvisí hlavně s;jednorázovým neúspěchem v testu;dlouhodobou pracovní zátěží, emočním vyčerpáním a ztrátou smyslu;výhradně nízkou inteligencí žáků;pouze nedostatkem odbornosti v předmětu;B;Burnout je důsledek dlouhodobého stresu a nerovnováhy mezi nároky a zdroji.
Management školy se od leadershipu liší tím, že management více zdůrazňuje;jen individuální psychoterapii;inspiraci a sdílenou vizi bez organizace;pouze vztahy mezi žáky;organizaci, plánování, kontrolu a správu procesů;D;"Management je zaměřen na řízení provozu; leadership na vedení lidí a rozvoj vize."
Pedagogické vedení školy znamená hlavně;výhradně tvorbu rozvrhu;pouze správu budovy;vedení zaměřené na kvalitu výuky a učení žáků;jen účetnictví školy;C;Instructional leadership míří k podpoře výuky, profesního učení učitelů a výsledků žáků.
Kultura školy označuje;pouze úroveň výtvarné výchovy;teplotu ve třídě;sdílené hodnoty, normy, vztahy, rituály a způsoby jednání ve škole;jen počet kulturních akcí;C;Kultura školy je hlubší vrstva fungování školy, která ovlivňuje klima i praxi.
Well-being ve škole znamená;výhradně volný čas bez výuky;pouze absenci známkování;jen fyzickou zdatnost;podporu bezpečí, vztahů, smysluplnosti a duševní pohody žáků i pracovníků;D;Well-being je širší pojem pro prospívání, bezpečí a kvalitu života ve škole.
RVP a ŠVP se liší tím, že;ŠVP je vždy stejný pro všechny školy;RVP stanovuje rámec na státní úrovni, ŠVP je školní konkretizace;RVP je dobrovolný a ŠVP je zákon;RVP tvoří ředitel a ŠVP ministr;B;"RVP je rámcový dokument; ŠVP aplikuje rámec na podmínky konkrétní školy."
Klíčové kompetence jsou;jen seznam učebních témat;soubor vědomostí, dovedností, postojů a hodnot použitelných v životních situacích;výhradně technické dovednosti;pouze schopnost mluvit cizím jazykem;B;Kompetence vyjadřují způsobilost jednat, nikoli jen izolovanou znalost.
Strategie 2030+ patří mezi;alternativní školské koncepty;strategické dokumenty vzdělávací politiky;testové metody PPP;učebnice obecné didaktiky;B;Strategie 2030+ je strategický rámec vzdělávací politiky v ČR.
Česká školní inspekce primárně;vydává vysvědčení žákům;schvaluje každý ŠVP místo ředitele;zřizuje všechny školy;hodnotí podmínky, průběh a výsledky vzdělávání a kontroluje dodržování předpisů;D;ČŠI je evaluační a kontrolní orgán ve školství.
Národní pedagogický institut slouží především k;vyplácení mezd učitelům;řízení všech třídních schůzek;metodické a odborné podpoře škol a kurikulárnímu rozvoji;nahrazování ředitelů škol;C;NPI poskytuje metodickou podporu a podílí se na kurikulárních a rozvojových aktivitách.
Obecná didaktika se zabývá;výhradně správou školy;obecnými zákonitostmi vyučování a učení napříč obory;jen výukou matematiky;pouze psychoterapií žáků;B;Obecná didaktika formuluje principy, cíle, metody, formy a prostředky výuky obecně.
Oborová didaktika se liší od obecné didaktiky tím, že;neřeší učivo ani metody;platí jen pro mateřské školy;je synonymem školského zákona;řeší výuku konkrétního vyučovacího oboru;D;Oborová didaktika propojuje oborový obsah s pedagogicko-psychologickými principy výuky.
Kognitivní výukový cíl se týká;správy školy;postojů a hodnot výhradně;motorických dovedností výhradně;vědomostí, porozumění, myšlení a intelektuálních operací;D;Kognitivní cíle směřují k poznávací oblasti žákova učení.
Afektivní výukový cíl se týká;pouze početních dovedností;jen obsahu učebnice;výhradně svalové koordinace;postojů, hodnot, zájmů a prožívání;D;Afektivní oblast zahrnuje postoje, hodnoty a emoční složku učení.
Psychomotorický výukový cíl se týká;praktických a pohybových dovedností;jen školní legislativy;pouze zapamatování definice;výhradně hodnotové orientace;A;Psychomotorické cíle jsou spojeny s činnostmi, manuálními a pohybovými dovednostmi.
Požadavek kontrolovatelnosti výukového cíle znamená, že;lze ověřit, zda byl cíl dosažen;cíl musí být tajný;cíl se nesmí měnit;cíl nesmí být sdělen žákům;A;Kontrolovatelný cíl je formulovaný tak, aby bylo možné posoudit jeho naplnění.
Transmisivní pojetí výuky klade důraz na;žákovské prekoncepty jako hlavní zdroj učiva;předávání hotových poznatků učitelem;výhradně skupinové řešení problémů;aktivní konstrukci poznání žákem;B;V transmisivním modelu je dominantním zdrojem poznání učitel a výklad.
Heuristická metoda vede žáky především k;samostatnému objevování poznatků pomocí otázek a problémů;pouhé reprodukci učebnice;mechanickému opisování definic;pasivnímu poslechu bez aktivity;A;Heuristický postup podporuje aktivní hledání řešení a objevování vztahů.
Situační metoda ve výuce využívá;modelové nebo reálné situace k řešení rozhodovacích problémů;jen frontální diktát;pouze domácí úkoly;výhradně písemné testy;A;Situační metoda rozvíjí aplikaci poznatků v konkrétních kontextech.
Inscenační metoda je založena na;výhradním tichém čtení;mechanickém přepisování textu;frontálním výkladu bez interakce;hraní rolí a simulaci sociálních situací;D;Inscenace umožňuje prožít a reflektovat role, vztahy a komunikační situace.
Kooperativní výuka vyžaduje;soutěž všech proti všem;výhradní práci učitele;jen rozdělení lavic do skupin bez společného cíle;spolupráci žáků, pozitivní vzájemnou závislost a individuální odpovědnost;D;"Kooperace není pouhé sezení ve skupině; důležité jsou role, cíl a odpovědnost členů."
Frontální vyučování je typické tím, že;učitel do výuky nezasahuje;učitel řídí výuku celé třídy současně;žáci se učí výhradně v terénu;každý žák pracuje na vlastním projektu bez společného řízení;B;Frontální forma je hromadná a učitel obvykle koordinuje činnost celé třídy.
Vyučovací hodina jako základní jednotka obvykle zahrnuje;pouze klasifikaci a trest;jen přestávku a administrativu;výhradně závěrečný test;motivaci, expozici, fixaci, aplikaci a diagnostiku;D;Fáze hodiny se mohou lišit, ale typicky zahrnují motivaci, výklad/objevování, upevnění a ověření.
Zásada názornosti znamená, že učitel;vždy hodnotí jen známkou;zakazuje pomůcky;využívá konkrétní příklady, modely, ukázky a zkušenost;učí výhradně abstraktními definicemi;C;Názornost propojuje abstraktní poznatek s vnímatelnou nebo představitelnou oporou.
Zásada přiměřenosti znamená, že učivo a požadavky;jsou vždy maximálně těžké;se volí náhodně;odpovídají věku, schopnostem a aktuálním možnostem žáků;jsou stejné pro všechny bez ohledu na podmínky;C;Přiměřenost chrání před přetížením i podceňováním žáků.
Zásada systematičnosti znamená, že učivo;je logicky uspořádáno a navazuje;je vybíráno náhodně;se učí pouze projektově;nesmí souviset s předchozím učivem;A;Systematičnost podporuje strukturované a dlouhodobé porozumění.
Zásada aktivnosti znamená, že;učivo se neprocvičuje;žák je aktivním účastníkem učení;aktivní je pouze učitel;žák má jen poslouchat;B;Aktivita žáka zvyšuje porozumění, motivaci a zapamatování.
Formativní hodnocení slouží hlavně k;trestání chyb;definitivnímu seřazení žáků;průběžné zpětné vazbě podporující další učení;nahrazení výuky;C;Formativní hodnocení informuje žáka, kde je, kam směřuje a jak se může zlepšit.
Sumativní hodnocení slouží hlavně k;průběžné neklasifikované podpoře;diagnostice klimatu třídy;závěrečnému posouzení dosažené úrovně výkonu;řízení školní rady;C;Sumativní hodnocení shrnuje výsledek za určité období nebo celek učiva.
Validita didaktického testu znamená, že test;obsahuje jen otázky ABCD;má vždy mnoho úloh;je vytištěn barevně;měří skutečně to, co má měřit;D;Validita je platnost měření vzhledem k cíli testu.
Objektivita hodnocení znamená, že výsledek;co nejméně závisí na osobě hodnotitele;nepotřebuje kritéria;závisí hlavně na sympatii učitele;je vždy slovní;A;Objektivitu podporují jasná kritéria, bodovací schéma a stejné podmínky.
Práce s chybou v konstruktivistickém pojetí znamená, že chyba je;důvod k ponížení žáka;zdroj poznání a diagnostická informace;něco, co se nikdy neanalyzuje;signál k ukončení výuky;B;Chyba ukazuje žákovo porozumění a může být východiskem pro další učení.
Učební úloha je didakticky významná hlavně proto, že;nahrazuje učitele;slouží jen k zabavení třídy;je vždy testem;aktivuje žákovu činnost a směřuje k cíli učení;D;Úloha propojuje učivo, cíl, metodu a žákovu aktivitu.
Didaktická analýza učiva znamená;pouhé opsání kapitoly z učebnice;administrativní kontrolu školy;rozbor učiva z hlediska cílů, struktury, obtížnosti, návazností a metod výuky;hodnocení známek žáků;C;Analýza učiva pomáhá učiteli zvolit adekvátní cíle, postupy, úlohy a podporu.
Příprava učitele na výuku má obsahovat hlavně;pouze text výkladu bez cílů;výhradně domácí úkol;cíle, učivo, metody, formy, pomůcky, časový plán a ověření výsledků;jen seznam známek;C;Dobrá příprava propojuje cíle, obsah, činnosti žáků a způsob ověření učení.
Tandemová výuka znamená;střídání učitelů po týdnech bez domluvy;spolupráci dvou pedagogů při plánování, realizaci a reflexi výuky;výuku pouze s asistentem bez učitele;výuku dvou předmětů vždy současně bez spolupráce;B;Tandemová výuka je založena na koordinované spolupráci dvou vyučujících.
Asistent pedagoga má ve výuce primárně;řídit školu místo ředitele;podporovat vzdělávání žáků podle pokynů učitele a potřeb podpůrných opatření;nahrazovat učitele ve všech činnostech;samostatně známkovat všechny žáky;B;Asistent pedagoga je podpůrná role, nikoli náhrada učitele.
Pedagogická komunikace ve třídě zahrnuje;jen administrativu školy;výhradně rozvrh hodin;pouze písemné testy;verbální i neverbální projevy učitele a žáků;D;Komunikace je základní prostředek řízení výuky, vztahů a zpětné vazby.
Bezpečné klima ve třídě podporuje;strach z učitele;nejasná pravidla;zesměšňování chyb;otevřenost, důvěru, respekt a ochotu učit se z chyb;D;Psychologické bezpečí zvyšuje aktivitu žáků a kvalitu učení.
Benchmarking ve vzdělávání znamená;náhodné rozdělení tříd;výhradně trestání škol;pouze tvorbu učebnic;srovnávání výsledků nebo procesů s referenčními standardy či jinými institucemi;D;Benchmarking slouží k porovnání a hledání možností zlepšení.
Mezinárodní šetření PISA se zaměřuje především na;gramotnosti patnáctiletých žáků a jejich schopnost aplikovat znalosti;pouze znalost českého pravopisu;zkoušení učitelů z legislativy;hodnocení mateřských škol;A;PISA sleduje čtenářskou, matematickou a přírodovědnou gramotnost v mezinárodním srovnání.
Škola jako učící se organizace se vyznačuje;zákazem inovací;sdíleným učením, reflexí, spoluprací a rozvojem celé školy;uzavřeností vůči zpětné vazbě;tím, že se učí pouze žáci;B;Učící se organizace systematicky pracuje s učením jednotlivců i kolektivu.
Excerpování znamená;zkoušení žáků u tabule;pořizování výpisků z odborného textu;měření klimatu třídy;vyhledávání talentů;B;Excerpce je práce se zdrojem formou výpisků a poznámek.
Pedagogická evaluace se od běžného dojmu učitele liší tím, že;je systematickým zjišťováním a vyhodnocováním údajů o vzdělávání;je pouze závěrečná známka žáka;je totéž co domácí úkol;je čistě intuitivní pocit bez dat;A;Evaluace je plánovaný proces sběru, analýzy a využití informací pro posouzení kvality a zlepšování.
Vnější evaluace školy znamená, že hodnocení provádí;subjekt mimo školu, například inspekce nebo externí hodnotitel;pouze školník;jen žáci anonymně po hodině;výhradně třídní učitel své třídy;A;"Vnější evaluace přichází z prostředí mimo školu; vnitřní evaluaci provádí škola sama."
Skryté kurikulum označuje;zakázané učivo;neformální hodnoty, normy a vzorce chování předávané školním prostředím;pouze utajený ŠVP;nevytištěnou učebnici;B;Skryté kurikulum zahrnuje to, co se žáci učí nepřímo z organizace, vztahů a kultury školy.
Učebnice je didaktický prostředek, který má funkci;pouze právní;výhradně sankční;jen klasifikační;informační, transformační, fixační, motivační i řídicí;D;Učebnice nejen předává informace, ale také strukturuje učivo, podporuje učení a nabízí úlohy.
Brainstorming patří mezi metody;monologické výkladové;legislativní;aktivizující, zaměřené na produkci nápadů;výhradně diagnostické;C;Brainstorming má podpořit spontánní tvorbu nápadů bez předčasné kritiky.
Sokratovský rozhovor je založen hlavně na;tichém opisování;diktování hotových odpovědí;kladení otázek vedoucích žáka k promýšlení problému;náhodném testování faktů;C;Sokratovský dialog používá otázky k aktivizaci myšlení a uvědomování souvislostí.
Kritériální hodnocení znamená, že výkon žáka je posuzován;výhradně podle rychlosti psaní;vždy podle průměru třídy;podle předem stanovených kritérií;podle nálady učitele;C;Kritériální hodnocení porovnává výkon s kritérii, nikoli primárně s výkony ostatních.
Normativní hodnocení znamená, že výkon žáka je posuzován;ve vztahu k výkonům ostatních žáků nebo normě skupiny;bez jakéhokoli srovnání;výhradně slovně;jen podle vlastního pokroku žáka;A;Normativní hodnocení porovnává jednotlivce s referenční skupinou nebo normou.
Pedocentrismus alternativních škol znamená;odmítání výchovy;zaměření výhradně na učitele;zaměření na dítě, jeho potřeby, aktivitu a rozvoj;pouze administrativní řízení školy;C;Pedocentrické směry staví do centra žáka a jeho aktivní učení.
